"looks to swing it away from middle stump, but it's full and down leg side"
"good length, slight shape away this time. No feet from the batsman. Defended to mid-on off the inside half"
"full, marginal swing away, comfortably tapped to mid-on"
"good length in the corridor, forward block"
"starts this outside off at a length, swings more than anything else so far, but the batsman won't play at that. Has been wide of the crease so far"
"<b>squares him up</b> but he's safe. Sticks to his angle from slightly wide of the stumps. Gets it to move away from a good length on middle stump. Dimuth looks to flick on angle, gets a leading edge that runs through the open point region"
"full and swinging in at middle stump, turned wide of mid-on with his wrists"
"good length, swinging away from the corridor. Nice shape on that. Left alone"
"bit of wobble in the corridor, good length. Nice start so far, but the right hander happy to leave"
"good length, slightly wide of the corridor, no movement. Left alone"
"128 kph, good length, wide outside off and swinging away. Left alone"
"128 kph, good length, nips away in the corridor. Big stride from Silva to defend this"
"back of a length at off stump, fishes away from the body and taps this to extra cover with no feet"
"good length, slants it in towards off stump this time after seven going away. Watchfully defended to mid-on"
"what a ball. Not too quick, 129 kph, but he draws him in. Angles it at off stump at a length, and gets it to straighten past the outside edge"
"good length, angled into the pads. Pushed wide of mid-on on the up"
"good length and in at the pads, no swing. Tickled off the inside edge. Fine leg has a long way to run to his right"
"good length, angled in at leg stump. Poked  through midwicket with soft hands"
"127 kph, good length, nice bend away from the corridor. Left alone"
"128 kph, full at middle stump, offers the full face and taps it to mid-on"
"126kph, length in the corridor, left alone"
"probing. Persistent line from Abbas. Good length outside off, but close enough to make him play. Defended off the outside half into the covers"
"<b>outside edge</b> through the slip cordon. He was in control of this, it appears. Pokes in the corridor on the front foot, but with soft hands. Gets it into the turf and through the gap between third slip and gully"
"back of a length at off stump, pushed to mid-off's right with soft hands"
"full and down leg side, into the pads. Can't get bat on his flick, it pings off the pad towards fine leg"
"good length at middle stump, taps it towards mid-off...takes off for a run and then says no. Nervous calls, but safe in the end"
"good length outside off, shaping away and he lets it go, only to find it nip back off the pitch"
"good length, shaping into the pads. Deflected fine off the thigh guard"
"<b>nice.</b> Good length in the corridor. The previous came in so Silva plays at this. Only to be deceived as this goes on with the angle, past his outside edge"
"back of a length at middle stump, watchfully defended"
"good length at off stump, half a stride to get it wide of mid-off. Tight single and he has to stretch as Aslam lets rip on the swivel. Doesn't hit the stumps"
"back of a length in the corridor, shapes away, left alone"
"good length outside off stump, shaping away, left alone"
"good length, too far outside off, left alone"
"good length, into the pads. Flicks it and takes off instinctively. Not so fast, says short leg. Quickly onto that and a backhand flick towards the stumps"
"good length outside off, left alone"
"good length, angled in at off stump. Dabbed wide of mid-on for the quick single"
"good length, angled away from outside off, left alone"
the first bouncer of the day. Too short though. Silva comfortably under it as it flies over leg stump
"good length, wide of the crease but shapes it in. Defended into the pitch"
"good length at off stump, nicely forward and defends solidly"
"<b>beaten on the outside edge</b>. Pokes at this back of a length ball on angle, but it straightens past his bat"
"good length outside off, angled away, left alone"
"good length outside off, thinks about playing that, withdraws at the last moment. Good call"
"back of a length at off stump, on the back foot to bunt this wide of mid-on"
"overpitched on leg stump, clipped straight to square leg. First boundary ball of the day, doesn't convert to the first boundary"
"and now the <b>first appeal.</b> Back of a length on leg stump, looks to flick on the up but he's beaten by how fast this skids on. Cops it on the pad, appeal is turned down. Pitching outside"
"back of a length on off stump, defended off the back foot"
"back of a length, wide outside off. Left alone"
"back of a length, angles in at off and he leaves it alone on height"
"good length outside off, a nervous forward defence, almost withdrawing in the end, but he gets it through the covers"
"full at middle stump, squeezed wide of mid-on off the inside half"
"good length, in at middle stump. One hand off as he defends off the back foot"
"good length outside off stump, left alone"
"overpitched outside off, his eyes light up. Looks to caress this through extra cover but he's early on it. Bat turns, ball dribbles to mid-off"
"back of a length at leg stump, whipped wide of fine leg"
"back of a length at off stump, pushed off the inside half of the bat, past mid-on"
"<b>goes wide of the crease</b> for the first time. Angles it in at off stump, nips it away off a good length. Thick outside edge to gully"
"good length outside off, nips it back in a long way. Silva lets this go, having gotten used to the shape away. Close to the off stump"
"back of a length at off stump, drops it into the off side with soft hands and looks to steal a single. Sent back as mid-off swoops"
"good length, pushed through at middle stump. Slides and nearly traps him on the back foot as he defends"
"floated up generously, but he's down the track to take it on the full and drive to long-on"
"back of a length at off stump, pushed to the covers off the back foot"
"tossed up at off stump, driven to extra cover"
"good length at leg stump, hardly turn, comfortably defended"
"good length at off stump, forward defence"
"good length outside off, left alone"
"back of a length at middle stump, tucked off the inside half through square leg"
"overpitched on leg stump, good connection on the flick, but it's straight to square leg"
"bouncer. Nicely directed, but it's not the quickest. Pitch not zooming either. Silva ducks"
"<b>nearly runs it onto his stumps.</b> Silva has been overly cautious - taking his bottom hand off the bat often and playing with ultra soft hands. This time he's half leaving, halfway playing in the corridor. He's half forward too. Ball hits bat and rolls past the off stump"
"short and wide, overcompensates with a big slash at it. Beaten comprehensively"
"full at middle stump, gets to the pitch and flicks...straight through short midwicket. Yasir unhappy"
"length at middle stump, flicked to short midwicket"
"back of a length outside off, spins in sharply as he looks to back away and make room. Pushed to covers"
"back of a length at off stump, defended off the back foot"
"good length outside off, makes him reach out to defend. He does it comfortably"
"was that the googly? He looks to flick this full one from outside off, gets a leading edge that rolls harmlessly to mid-off"
"good length outside off, left alone"
"back of a length outside off, left alone"
"back of a length in the corridor, awkward poke as it straightens. But his watchfulness is the reason this edge doesn't fly to slip. Instead it's past second slip's dive and that's the <b>first boundary of the match</b>"
"short and wide outside off, doesn't' chase it"
"back of a length, too far outside off, left alone"
"good length, wide outside off, left alone"
"walks across his stumps as this spins down leg, misses the flick"
"length at middle stump, pushed through flat. Defended into the leg side"
"back of a length in the corridor, defended off the back foot"
"good length at off stump, loops nicely and takes the outside half of the bat as he defends"
"length outside off, jumps down the track and gets the bat down quickly on this flat one. Taps it back to the bowler"
"back of a length at middle stump, tucked off the back foot to deep square"
"good length on middle, tucked towards the leg side to midwicket. It was rising on him"
"short outside off, angles into the left hander, glanced to midwicket once again. Forced onto the back foot"
"short outside off, shuffles to the left and works that behind square to midwicket this time. Slightly away from the fielder there, and allows them to run through"
"good length outside off, good bounce on offer, defended off the back foot from top of off stump"
"good length just outside off, left alone. Quick to get out of the ball's way"
"good length on the fourth-stump line, entices the batsman to try and have a poke at it, but he gets the bat back just in time. Flies just past his outside edge"
"full just outside off, dances down the wicket but plays down the wrong line. Spins into the left hander and raps him on the pads. Loud call for appeal but turned down"
"full on off stump, clipped off his toes towards deep midwicket , Early call for the second"
"<b>a beauty!</b> Full on middle, the batsman prods forward to defend it but sharp legspin takes the ball just past his bat's outside edge."
"full on middle, slight legspin, punched towards mid on"
"short on middle, spins away from the right hander thus giving him room to cut that towards point for a single."
"full on middle and leg, a mistimed front-foot defense"
"pitched full outside off, firmly defended back to Hasan. The bowler anticipates a run-out opportunity at the non-strikers, and flicks the ball back towards the stumps. He misses though"
"short outside off, shoulders his arms. Quick"
"<b>and that's the first wicket!</b> Full outside off and Kaushal wanted to leave that ball once again, but it's a quicker delivery, and he can't get his bat out of the way in time. As soon as he looked to shoulder his arms, did the ball catch his bottom edge and then ricocheted onto the stumps. The cautious opener has to go."
"full outside off, no footwork from the batsman as he plays that towards mid on"
"full on off stump and angles into the left-hander, defended towards midwicket off the backfoot. Lack of footwork once again from the new man"
"full outside off, strides forward and defends that firmly off the front foot"
"short on middle, steps back to open his chest and muscles that onto the leg side off his backfoot."
"full just outside off, stays low and hurries the new man. Gets his bat down just in time"
"tossed up full outside off, defended with the bat's full face."
"full on middle, worked towards the leg side"
"full on middle and Thirimanne falls into the trap! Gets down on one leg and tries to slog that over midwicket but the quicker delivery raps him on his back leg. <b>The infielders go up! And the umpire raises his finger.</b> Two quick wickets for Pakistan, and the early pressure is now paying off. The ball would've broken middle stump"
"full on middle, defended off the front foot"
"full outside off, punched back to the bowler but the bat turns in his hand"
"full on off, worked towards midwicket off his front foot"
"short outside off, angles into the left-handed batsman, gets onto his toes and drops his wrists to play that safely. Falls near his toes"
"full just outside off, the angle into the body allows him to work that in front of square on the leg side"
"quicker outside off stump, pinches on a good length and Mendis carefully sees it go past him and through to the keeper"
"full just outside off, Hasan tightens his line slightly. Closer to the batsman's body but Mendis does well to gauge how far the ball was away from off stump. Shoulders his arms"
"tossed up just outside off, drift in the air and the batsman charges in to negate the spin. Hit slightly in the air behind square on the leg side"
"full on off stump, spins away from the batsman who defends it towards point."
"full on middle and leg, prods his front foot forward and defends it"
good length on off stump and turns sharply away from Mendis. He drops his hands to play that safely along the ground
"full just outside off, drives it with the turn off his front foot. But straight to cover"
"short and wide outside off, eases the pressure but allowing Mendis to rock back and cut that in front of square. Goes between cover and point, allowing the batsman to take two"
"full on middle stump, the batsman shuffles and clips that off his pads towards mid on"
"good length outside off, once again the ball hits the blade despite him trying to shoulder his arms. The ball dribbles away to point. Quick stuff"
and this time the batsman uses Hasan's pace well. It's full outside off and driven down the ground past mid off.
"full on off stump, defended towards mid off"
"good length on leg stump, just straying in line and the ball goes was going down the leg side. The batsman can't get away in time, and neither can he get bat to ball, but the cherry smacks the thigh pad and races away to the leg side behind the stumps for four runs"
"good length on middle, punched to cover off the backfoot"
"full just outside off, the batsman anticipates the legspin and lets the ball goes through to the keeper"
"full on off stump this time, reaches in front and brings out a wristy drive. Not timed well, and finds mid off"
"fuller on middle stump, gets his toes out of the way and drives that with the bat's open face towards cover"
"full on off stump, sharp legspin, the batsman tried to defend it but takes the outside edge and flies - but along the ground - to point"
"full on leg stump, stays very low and this one's the straighter one. The batsman does very very well to get his feet back and get bat to ball. Yasir appeals, but umpire Llong says bat first"
"full on middle, hurries the batsman into working that towards midwicket"
"good length outside off, defended off his back foot"
"full outside off, the batsman lets it come towards him as he times a perfect cut. But it's straight to point"
"full on off stump, smartly driven but straight to mid off"
"width offered outside off stump, short and waiting to be punished but Karunaratne's cut can only find the fielder stationed at point. Two loose deliveries this over now."
short outside off and this time he finds the placement. Not cut as furiously as before but gently helped past point's right. Runs away to the boundary with no third-man protection in that region
"good length outside off, punched towards point and calls early for one. Dive from the fielder and quick release back to the keeper, but the batsmen were easily in by then"
"good length on leg stump, the batsman charges down and works it towards the leg side"
"full on leg stump, glanced towards midwicket and quick call for one."
"full on leg stump, clipped towards mid wicket but there's protection there"
"full on off stump, Mendis carefully defends that from in front of off stump"
"full on off stump, slight legspin and Mendis defends that with the turn"
full just outside off and driven well to mid off. The batsmen take a run but Hasan Ali does well to throw that ball in. <b>Breaks the stumps at the non-striker's</b> but the batsmen were in.
"good length just outside off stump, defends it off his front foot. Full face of the bat"
"good length on off stump, tries to clip that towards deep midwicket but mistimes the glance shot."
short on off stump and <b>Karunaratne has to duck!</b> The short ball comes in and takes the batsman with surprise but he was up to the challenge.
"follows the bouncer, with another bouncing delivery. Karunaratne ducks once again. Short outside off stump"
"full outside off, slower delivery this time, played with soft hands in front of square on the leg side"
"good length just outside off, defended off the front foot to see off the over"
"short on middle stump, uses the crease's depth to rock back, and then works it off his pads towards fine leg for one"
"good length outside off, spins away from Mendis, who tentatively pokes at the ball as it passes him, takes the edge and flies towards third man for more runs"
"full outside off, defended with soft hands towards the off side"
"full on middle and Mendis charges down, wristy shot towards the leg side but straight to midwicket"
"full on leg stump, defended firmly"
"full and wide outside off, the batsman sees it go past him"
"full toss outside off, can't time it well and straight to mid off."
"full on middle, good line and defended back off the front foot"
"full outside off, driven straight to cover"
full outside off and left alone
"full outside off, the bats face turns towards the leg side, as it  is driven to mid on"
"good length on middle, played straight back to the bowler"
full just outside off but there's no spin. <b>Goes straight on and takes the edge!</b> Mendis tries to defend that off his back foot but the ball goes past his blade and takes his outside edge and through to Sarfraz. Sharp catch from him. <b>And that's lunch as well</b>
"back of a length, slider on middle stump. Tapped towards square leg off the back foot"
"good length at off stump, forward defence"
"good length at off stump, defended off the inside half"
"<b>close.</b> Hits him on the back leg in front of middle stump. Would have been plumb had it pitched in line. Some turn for Yasir there, Chandimal was looking to close the face"
"length at off stump, inside edge onto pad as he defends"
"good length in the corridor, slight shape away, defended solidly"
"full at leg stump, nicely clipped off his toes, but straight to midwicket"
"bouncer, too short at an off stump line. Easily ducks"
"goes wide of the crease, angles this in at off stump. Back of a length, defended off the back foot"
"back of a length on middle stump, punched to mid-on on the up"
"<b>mid-on misses</b> the stumps at the non-strikers. Was an offcutter from Amir, well picked and flicked wide of mid-on from off stump. Hesitation as he took off for the run"
"tossed up at off stump, driven to mid-on"
"good length at off stump, defended down the pitch"
"good length at off stump, defended into the off side"
"full at off stump, pushed off the inside half to mid-on"
"good length at middle stump, flicked to mid-on on the up"
"good length at off stump, defended into the off side"
"good length at off stump, pushed to mid-on's right on the up. Mohammad Abbas puts in a dive to keep it to one"
"bouncer slanted across off stump, nonchalantly avoided"
"back of a length at off stump, punched off the back foot to extra cover"
"good length, angled in but too far outside off, left alone"
"good length outside off, left alone"
"back of a length outside off, punched into the covers off the back foot"
"tossed up at off stump, driven straight to mid-off"
"back of a length at middle stump, pushed to midwicket off the back foot"
"good length at off stump, defended off the back foot"
"tossed up at off stump, driven on the full to mid-off"
"floated full on off stump, firmly driven back towards the bowler who parries it to mid-off"
"tossed up at middle stump, flicked to mid-on off the toe-end"
"wide of the crease, aimed at off stump, but defended solidly off the front foot"
"short one at off stump, swivels and controls the pull to fine deep square"
"good length, angling in at off stump. Flicked through midwicket with soft hands"
"back of a length outside off, doesn't quite skid onto the bat as he punches through the covers. Picks up two"
"good length outside off, offcutter, stabbed into the covers"
"back of a length at off stump, poked to midwicket on the up"
"back of a length outside off, watchfully dropped into the covers"
"good length outside off, defended on the front foot"
"good length at off stump, defended down the pitch"
"full at off stump, driven straight to extra cover"
"back of a length at middle stump, on the back foot to whip it wide of mid-on"
"full at off stump, gets low for the reverse sweep and <b>just</b> manages to get bat on it. So close, but its runs past first slip"
"short one at off stump again. This time no control on the hook. It's aerial briefly, but well short of deep square"
"back of a length in the corridor, defended off the back foot"
"overpitched outside off stump, driven straight to extra cover"
"good length, wide outside off, left alone"
"good length outside off, big stride to push that through the covers"
"<b>135kph yorker</b> at off stump, dug out well in the end. Straight to midwicket"
"good length at middle stump, pushed back down the pitch on the front foot"
"length outside off, left alone"
"back of a length, spinning away from off stump. But he whips against the turn on the back foot, finds mid-on"
"good length at leg stump, flicked off the inside edge towards the fine leg boundary. Slip gives chase"
"full outside off, reaches for it and flicks between the two catching midwicket fielders. Long-on cleans up"
"good length at off stump, forward defence"
"back of a length outside off, pushed to extra cover off the back foot"
"full outside off, left alone on angle"
"back of a length outside off, angling away. Waits for it and chops it, very late, past backward point"
"good length, angled across, left alone"
"good length at off stump, defended on the front foot"
"good length at off stump, defended down the pitch"
"good length at off stump, defended on the front foot"
"length at off stump, slight turn away, defended on the front foot"
"back of a length outside off, slides through from below knee height as he looks to cut"
"<b>well bowled.</b> Drift, dip and rip. Chandimal has no clue as he's beaten on the forward defence"
"this is challenging. Full at off stump, looks to flick against the turn without feet. Leading edge back down the pitch"
"full at middle stump, defended off the inside edge"
"full outside off, defended into the off side"
full and angled into the off stump. Hint of late inswing there. Big stride across initially and nearly locked himself.Pushed to midwicket off the inside half
"back of a length, angled in at off stump. Angled bat on this as he tries to whip it past midwicket. Gets an inside edge onto pad"
"overpitched outside off, driven back at the bowler"
first signs of <b>reverse swing.</b> Beats the outside edge. Dimtuh unsure if this is coming in on the angle. Follows it with his hands as it goes away
"length at middle stump, flicked to fine leg"
"good length at off stump, flicked to midwicket"
"good length at off stump, from wide of the crease. Dimuth gets across his stumps and looks to ramp this but it spins well down leg side. Luckily for him."
"good length outside off, covers the stumps with a big stride and defends"
"good length at off stump, down the track and flicks straight to midwicket"
"full at off stump, flicked to deep square"
"back of a length at off stump, spins away rapidly and Chandimal prods away from his body. Thick outside edge past backward point"
"back of a length at off stump, tapped to mid-on's left and he steals the single to <b>bring up his fifty</b>. A measured knock that has kept them in the game"
"full and tailing in at off stump. An anxious push in front of his body, big inside edge to square leg"
"full at off stump, driven back towards the bowler"
"back of a length outside off, left alone"
"good length outside off, big stride to cover the off stump as he lets it go"
"short and wide, cut straight to backward point. Good transfer of weight"
"good length outside off, defended to short leg off the inside half"
"back of a length at off stump, whipped to deep midwicket off the back foot"
"good length at off stump, pushed to extra cover on the front foot"
"good length at off stump, left alone without covering the off stump"
"yes. Googly, back of a length outside off. Picked and defended off the back foot"
"full at off stump, poked to mid-on and the single is stolen as a livid Sarfraz screams"
"good length outside off, pushed on the up to mid-off"
"back of a length at middle, walks across and whips it through midwicket"
"full outside off, reaches the pitch but can't get the drive away. Straight to mid-off"
"looks for the bouncer, gets it woefully wrong. It pitches on leg and flies further down. Sarfraz stretches a long way"
"bouncer again, this one is at the chest but he keeps it down and finds deep square with the hook"
"good length at off stump, defended off the front foot"
"back of a length outside off, waits for it to turn into him and dabs it to deep square"
"good length, sliding at middle stump. Defended off the inside half"
"good length at off stump, pushed back to the bowler"
"full at off stump, driven down to long-off...where Hasan Ali lets it through his legs and has to chase to pull it back"
"back of a length at off stump, defended on the front foot"
"back of a length at off stump, pushed to extra cover"
"good length on off stump, spins sharply into the left hander, goes past his leg stump and the captain appeals for a caught-behind, but the umpire is not interested."
"full on middle and off, driven straight down the ground to long on for a single"
"tossed up full just outside off, sedately defended off his front foot"
"full just outside off, he charges and flicks that to mid off's right. Quick call for a single and the batsmen scamper through"
"full on off stump, defended"
"full just outside off, punched straight back to the bowler off his front foot. Hits the toe end of the bat, and can't find the timing"
"full on off stump, slight reverse swing into the right hander, defended carefully towards the leg side"
"pitched short into the deck, on off stump and rises onto Chandimal. THe batsman does well to get on top of the ball and play it safely near his toes with soft hands"
"good length just outside off, Chandimal brings out the back-foot defense"
"good length just outside off, <b>stays slightly low</b> and forces Chandimal to hurriedly get behind the ball's line. Defended back to the bowler."
"full on off stump, a nagging line that forces Chandimal to play at the delivery. Punched to mid on"
"full and wide outside off, no  swing and Chandimal can free his arms to bring out the drive. It's connected well but it's not in the gap. Straight to cover"
"full just outside off, defended"
"full just outside off, batsman charges and gets to the pitch of the ball. Whipped off his toes to deep midwicket. Enough time to walk through for the single"
"full on off stump, worked towards the leg side off his back foot for an easy single"
"full on off stump, dances down the wicket and punches that down the ground to long off"
"full just outside off, worked towards point off the back foot and calls early for one. Good strike rotation between the two"
"full and wide and Karunaratne flashes at that hard. <b>Takes the outside edge!</b> But there is no slip to gobble that up, goes away to third man for one."
"short on off stump, angles into the right hander, who drops his bottom hand to play it softly towards the leg side. Smart cricket here, not letting the pressure build in this session"
"good length on middle stump, angles away from the left hander, left alone"
pitched full on middle and Karunaratne clips that between midwicket and mid on to perfection. The ball comes into his pads and he smokes that for four. Textbook stuff. Well balanced
"good length on off stump, defended off the back foot"
"full outside off, left alone as the ball goes through to Sarfraz."
"full outside off, the batsman reaches at that and punches it down the ground. But straight to mid off"
"good length just outside off, no spin on offer and he waits for that to come to his body. Opens the bat's face and glances it to deep point"
"full just outside off, played with the turn to mid on"
"good length and quick just outside off, hurries the batsman. Sharp spin into his body this time and does well to negate the dangerous delivery"
"short outside off but spins into the left-hander sharply, backs away and bunts the ball to long on"
"short outside off but too close to his body for the perfect cut. Cuts it anyway, and goes to point's left"
"full on off stump, defended"
"short outside off and Chandimal decides to poke at that. Too close to his body and <b>takes the outside edge!</B> but the ball falls just in front of first slip, takes an awkward bounce, and races away for four"
"full on off stump, driven to mid on"
"pitches it short on middle stump, Chandimal sees it coming and ducks"
"good length on off stump, Chandimal gets behind the line of the ball and defends it to point"
"good length just outside off, moves to the off side to get nearer to the delivery but plays it with soft hands towards the fielder at point. Learnt well from that hard jab in the first ball that almost carried to the cordon"
yorker on off stump but Chandimal delightfully digs that out. Got down on one knee and squeezed that dangerous looking delivery behind the wicket and past short third-man for a boundary to end the over
"full on off stump, dances down the wicket and drives to mid on. Well fielded there to stop the single"
"full on middle, worked off his hips behind square to fine leg"
"full on middle stump, gets his front foot out of the way and works the ball to the leg side. Straight to midwicket though"
"full on off stump, driven to long off and the batsmen run through"
"full just outside off, the batsman covers his line and then clips the ball off his pads to deep midwicket"
"full just outside off, uses his wrists to drive that square on the off side"
"full just outside off, no swing and straight through to Sarfraz"
"full outside off but uses the wide crease to get more angle into the left-hander. Shoulders his arms but this one was much closer to off stump. Well calculated by the batsman, I suppose"
"short just outside off, forces the batsman to get on his toes and defend it off his back foot"
"full just outside off, tries to drive that towards cover but the bat turns in his hands. Flies away to midwicket, instead"
"full just outside off, slightly slow this time and the batsman has to adjust mid-shot to soften his hands. Defended"
"full outside off, driven off his front foot but straight to cover"
"full outside off, driven to mid off and quick call for one. But he may be in danger! No, he isn't. Gets in before the ball reaches the stumps. Close call, though"
"uses the wide crease, full on off stump, driven to cover off his front foot"
"full outside off, he charges down the pitch (in fact, towards the ball), and works it down the ground to long on for a single"
"full on leg stump, awry line and it's clipped off his feet to short fine leg. The fielder slips while throwing it back"
"full on middle and leg, defended  straight to the player at silly"
"full on off stump, defended with the spin back to Yasir"
"short outside off, defended off his back foot but umpire Llong has his right arm out horizontally. No ball"
"yorker to follow that no ball, just outside off and while he tries to squeeze that ball out, it takes his outside edge. But falls just in front of the two fielders at slip"
"full outside off, tries to drive it towards cover but the bat turns and the ball flies away towards third man"
"<b>a close call!</b> Short outside off and his back-foot defense is not in the right line. Takes the inside edge, and almost into the stumps, but he survives. Goes to fine leg"
"full just outside off, allows the ball to come to him before playing it towards the gap in front of point. They have to hurry for the single, and they succeed"
"full outside off stump, but too close to his body for the cut. Takes an under edge and falls near his feet."
"pitched up and fast (138 kph) just outside off stump, bunted back to the bowler"
"good length way outside off, but sharp turn into the left hander, worked behind square on the leg side from front of off stump"
"full outside off, backs away and cuts it. But straight to point"
"full on off stump, defended"
"full on middle and leg, gets to the pitch of the ball and works it to midwicket off his front foot"
"full on off stump, gets on top of the ball and defends it with the spin"
"full on off stump, driven to mid on and the batsmen are interested for a single. <b>They decide against it</b>"
"full on middle and off, the batsman gets behind the ball's line and defends it towards mid on"
"full outside off, played for the swing but there was none there. The cover drive is't quite there and it takes his outside edge instead. Races away between point and third slip for four. Only the seventh four of the innings"
"short on middle stump, climbs on the batsman who does well to work the ball to midwicket"
"full on off stump, carefully defended off his front foot"
"full outside off, front-foot defense into the pitch"
full on middle and off but this one stays low. Hurries him into defending that from in front of his legs. Hasan reacts after seeing the batsman struggle
"full on middle, offspin on offer, worked off his hips to short fine-leg"
"full on off stump, straight one this time and forces the batsman to defend"
"full on middle, defended off his front foot but straight to the bowler"
"full on leg stump, dug away to the fielder at midwicket"
"tossed up on middle stump, just enough flight for the batsman to get under it. Whipped past mid on and towards cow corner for four"
"flatter this time to adjust, outside off and cut away straight to the sweeper fielder on the off side"
"good length on middle stump, quicker ball. Gets onto his backfoot and clips it to the square-leg fielder"
"short and fast outside off, sends the batsman ducking for cover. Clearly surprised Karunaratne there. <b>Batsman and bowler share a smile</b>"
"good length just outside off, safe cricket from Karunaratne, defended to cover"
"full on middle stump, defended back to the bowler, who dives to his left to stop the ball. Saves atleast one"
"good length just outside off, stays low once again and forces the batsman to defend"
"full outside off, left alone as <b>umpire Llong says 'Time for Tea'</b>"
"back of a length at middle stump, shovelled through square leg off the back foot"
"back of a length outside off, defended in front of off, back foot"
"back of a length at middle stump, flicked at short leg's body"
"good length, wide outside off. Long stride, defended off the inside half"
"dropped short on middle stump, quickly back in the crease, pulls straight to deep midwicket"
"good length at off stump, forward defence"
"back of a length at off stump, flicked to midwicket off the back foot"
"full at off stump, defended back down the pitch"
"good length outside off, tapped into the covers on the up"
"back of a length in the corridor, defended off the back foot"
"good length, angled in at leg stump. Thinks he's flicked this past midwicket, but the dive comes out and he's forced back into his crease after taking off for a run"
