"good length first up on middle, onto the frontfoot and pushes it to mid-off fielder"
"length ball on middle, onto the frontfoot and does a defense "
"just short of good length on middle, onto the backfoot and does a defense"
"fuller on middle, onto the frontfoot and pushes it past the bowler to mid-off"
"good length angling into him, looks to loft it over mid-on but doesn't connect well to the fielder, who jumps full stretch and gets there but couldn't hold onto it, could be very costly"
onto the frontfoot and does a defense to cover 
"tossed on off, onto the frontfoot and blocks it"
"drops it short and quick into the body, pushes it nicely away to square leg for a run"
"tossed on the pads, flicks it nicely to short fine leg for a quick run"
"flighted outside off, made up his mind as soon as he saw the air in it and slogs it over long-off for a six"
"tossed on middle, double minded but manages a sweep towards square leg for a run"
"floated on middle, onto the backfoot and pushes it to mid-on"
"good length coming into him, onto the frontfoot and does a defense"
"fuller on leg, drives it firmly on the rise but to the mid-on fielder"
"length ball on off, onto the frontfoot and pushes it to point"
"good length on the pads, nudges it nicely to short mid-wicket"
"on the pads again, flicks it uppishly but safe couples of bounces to deep square leg for a run"
"full and straight, stands up tall and drives it straight firmly past the bowler for a boundary, no chance for  both the mid fielders as it was timed to perfection"
"good length on the pads, punches it of the backfoot to mid-wicket for a couple"
"good length on the pads, nudges it along the ground to short square leg"
"outside off, onto the backfoot and jags it to point fielder"
"outside off, comes on the frontfoot and drives it to cover fielder"
"short outside off, tries to cut it but got beaten by the extra bounce"
"on the pads, flicks it nicely away to mid-wicket region for a couople"
onto the backfoot and pushes it to mid-on
"good length on middle, onto the backfoot and pushes it to mid-on last moment as it kept low"
"outside off, cuts it down to thirdman for a run"
"fuller on the pads, flicks it to short mid-wicket"
"short on the thigh, jabs it to square leg for a run"
onto the backfoot and pushes it to short square leg fielder
"outside off, cuts it on the frontfoot towards point and beats him for a boundary"
"good length outside off, looks to drive but beaten as it ripped of the pitch after pitching"
onto the frontfoot and does a defense
"outside off, onto the backfoot and punches it past point this time for a boundary"
"short outside off, onto the backfoot and pushes it to the ground nicely"
"full outside off, drives it uppishly but safe into the gap between point and cover point for a boundary"
onto the frontfoot and does a defense
"on the pads, nudges it nicely away to square leg for a run"
"into the pads, flicks it nicely to short fine leg but the fielder does so well to stop it"
"outside off, onto the frontfoot and does a defense "
"length ball on middle, looks to loft it over mid-on but gets it straight in the air, mid-on jogs backwards with his eye on the ball and takes a good catch to make up for the last drop by him"
"good length on off, onto the frontfoot and does a defense to the point fielder"
"short on the pads, looks to nudge it but gets it of the thigh to short square leg"
"length ball outside off, drives it nicely past point for a couple as thirdman covers it up"
"good length on middle, onto the backfoot and does a defense"
"length ball outside off, tries to cut but gets a inside edge onto the stumps"
"back of a good length outside off, onto the backfoot and does a defense"
onto the backfoot and does a defense
onto the backfoot and does a defense
"outside off, onto the backfoot and punches it to the cover fielder"
"full and straight, onto the frontfoot and driven straight past bowler to mid-off for a quick run"
"outideoff, pushes it tentatively to point"
onto the frontfoot and pushes it down to thirdman for a run and to get up the mark
"good length on middle, onto the frontfoot nicely and drives it past his partner for a boundary at long-on"
"short outside off, onto the backfoot and pushes it to short cover"
"short ball outside off, tries to pull it but got really high on him"
down the leg and wide given
"outside off, onto the backfoot and gently pushes it to short cover"
"good length on off, looks to drive but beaten"
"length ball outside off, pushes to covers of the backfoot"
"length ball outside off again, pushes it to cover fielder again"
"full on middle, digs it out nicely to short cover"
"on the pads, nudges it nicely away to square leg for a run"
"good length coming into him, flicks it nicely down to deep fine leg for a run"
"full on middle, drives it firmly on the rise but to the mid-on fielder"
onto the backfoot and does a defense 
"outside off, flashes it hard and gets it down to thirdman for a run"
"tossed on middle, onto the frontfoot and does a defense"
"flighted on off, driven down to long-off for a run"
"tossed on the pads, nudges it away to on-side for a quick run"
"flighted outside off, onto the backfoot and pushes it to mid-wicket"
"tossed up, drives it as it spins down to long-off for a run"
quick but down the leg and wide given
"tossed on middle-leg, drags it away from short mid-wicket for a couple"
"full outside off, onto the frontfoot and drives it to short cover fielder"
"good lenght outside off, gets enough room to free his arms and goes for a big shot over cover but beaten "
"on the pads, nudges it to short mid-wicket fielder"
"outside off, onto the backfoot and pushes it to point fielder"
onto the backfoot and punches it to sweeper cover for a run
"outside off, onto the backfoot and pushes it to point fielder "
"flighted outside off, lures him into a drive but beaten by the slowness"
"tossed on middle, driven straight back and bowler does well to stop it"
"tossed on off, driven nicely and stopped well by the bowler again "
"flgihted on middle, takes a step down and pushes it past short mid-wicket for a run"
angling down the leg and goes past the batsman as he tried to nudge it and wide given
"quicker on leg, goes for a sweep but gets it if his gloves and just away from the leg stump"
"tossed on off, onto the backfoot and pushes it to cover fielder"
onto the backfoot and pushes it past point for a couple
onto the frontfoot and nudges it away to on-side for a run
"good length on off, pushes it to cover fielder"
"length on off, onto the backfoot and pushed to short cover fielder"
onto the frontfoot and driven to short cover
"angling into him, pushes it to short mid-wicket fielder"
"tossed on off, drives it to cover fielder"
tossed on leg and it spins away down the leg and wide given
onto the frontfoot and driven back to the bowler
"tossed on leg, sweeps it but finds the short fine leg fielder"
"tossed up, comes down and pushes it to long-on for a run"
"tossed on leg, sweeps it firmly but to the short fine leg fielder"
"tossed on middle, onto the backfoot and pushes it back to the bowler"
"full outside off, drives it on the rise towards covers and stopped supberly diving to his left "
"good length on off, onto the backfoot to defend it but it gets high on him and gets a outside edge past the keeper for a boundary"
onto the backfoot and pushed to point fielder
"good length on middle, onto the backfoot and pushes it back to the bowler"
"good length on middle, blocks it on his backfoot back to the bowler"
"outside off, pushes it gently to point fielder no run there"
"tossed up, comes down to the very first of his and drives it back to the bowler"
"tossed up, comes down the pitch once again and doesn't get hold of it, striaght to point fielder and drinks called"
"tossed outside off, drive to cover fielder"
"flighted on middle, onto the frontfoot and pushes it back to the bowler"
"flighted up, onto the frontfoot and drives it back to the bowler"
"tossed outside off, waits for it and cuts it late but to the point fielder"
"full outside off, onto the frontfoot and driven to cover fielder"
"outside off, onto the backfoot and pushes it to the left of ocver for a quick run"
"full on off, driven along the ground to mid-off fielder"
"outside off, guides it down to thirdman for a run"
"good length on middle, drives it nicely to the short cover fielder"
onto the frontfoot and drives it to sweeper cover for a run
"tossed on off, pushes it towards sweeper of the backfoot for a run"
onto the backfoot and pushes it to short mid-wicket
"quick on middle, onto the backfoot and punched back to the bowler"
"flighted up, onto the frontfoot and nudges it to on-side for a run"
onto the backfoot and pushes it to short mid-wicket
"tossed up, onto the frontfoot and driven down to long-on for a run"
onto the frontfoot and drives it to cover fielder
onto the backfoot and opens the face of the bat to get it down to thirdman but plays it straight to point
"good length outside off, comes down and gives it all but gets a bottom edge to the point fielder on the bounce"
onto the backfoot and nudges it to square leg for a run
"on the pads, flicks it down to fine leg for a run"
"full on middle, driven down to long-on for a run"
"tossed up, onto the frontfoot and jams it into the ground "
"drops it short, on the backfoot early and pulls it away from short mid-wicket for a boundary"
"tossed up, onto the frontfoot and drives it back to the bowler"
"tossed outside off, pushes it to sweeper cover for a run"
"tossed outside off, onto the backfoot and cuts it past point for  run"
quick and striaght onto the frontfoot and driven down to long-on for a run
"full on leg, nudges it to square leg for a run"
"good length on off, tries to cut it late towards thirdman but gets it well on the bat to the cover fielder"
"outside off, pushes it to point with soft hands for a quick run"
"full on off, pushes it on the frontfoot to point"
"full outside off, driven nicely to sweeper cover for a run"
onto the backfoot and flicks it to short square leg
"tossed on off, drives it towards  long-on but short mid-wicket across quickly to stop it"
"outside off, punches it to sweeper cover for a run"
"flighted on middle, lets it spin and pushes it to square leg for a run"
"flighted up, onto the frontfoot and drives it uppishly down to long-off for a run"
"tossed up, onto the backfoot and pushes it back to the bowler"
"tossed up, onto the knee and sweeps it to short square leg"
onto the backfoot and pushes it away to mid-wicket for a run
"full on middle, onto the frontfoot and driven to mid-on"
"good length on off, onto the frontfoot and does a defense "
"outside off, looks to guide it down to thirdman but gets a inside endge on the bounce to the keeper"
"outside off, onto the backfoot and pushes it to the gully fielder"
"short outside off, onto the backfoot and pushes it to point"
"tossed up, comes down and slogs it straight for a flat six"
"tossed up, onto the backfoot and pushes it to short mid-wicket "
"tossed up, onto the frontfoot and driven down to long-on for a run"
"tossed on leg, down on the knee and confidently sweeps it past short backward leg for a boundary"
"tossed up, onto the frontfoot and drives it down to long-on for a run"
"flighted up, lets it spin and plays it to short fine leg but no run there"
onto the backfoot and pushes it to sweeper cover for a run
onto the backfoot and pushed away to on-side for a run
"tossed up, drives it on the rise down to long-off for a run"
"flighted up, onto the backfoot and pushes it back straight and almost a catch to the bowler"
"tossed outside off as he comes down, reaches for it and hits it high and straight to long-off fielder for an easy catch"
"tossed up, onto the frontfoot and blocks it"
onto the backfoot and nudges it away to square leg for a run
"onto the pads, flicks it down to fine leg for a run"
"good length on off, onto the backfoot and pushes it back to the bowler"
"fuller on leg, drives it to mid-on fielder "
"outside off, cuts it to deep point for a run"
onto the frontfoot and does a defense
"tossed up, onto the frontfoot and pushes it to cover"
"tossed up, drives it nicely down to long-on for a run"
"flighted outside off, drives it firmly but to the short cover fielder"
"tossed outside off, lure him into a big shot with the flight, comes down and goes for it towards cover but gets a outside edge and to the short thirdman"
"tossed up, onto the frontfoot and does a defense"
"flighted up, onto the frontfoot and does a defense"
"good length, onto the backfoot and pushes it back to the bowler"
"outside off, drives it away from his body to sweeper cover"
"outside off, looks to defend it but got beaten"
"good length on the pads, flicks it to square leg for a run"
"outside off, guides it down to thirdman for a run"
onto the backfoot and pushes it to cover fielder
"flighted on leg, down on the knee to sweep and connects but plays it straight to short square leg"
"tossed on middle, onto the frontfoot and does a defense"
"flighted outside off, onto the frontfoot and drives it down to long-off for a run"
"slow flighted on middle, onto the frontfoot and blocks it"
"tossed outside off, drives it on the rise towards long-off but cover runs across to field it"
"tossed on the pads, nudges it away to on-side for a run"
"full on leg, drives it to mid-on fielder"
"good length on middle, driven nicely to mid-on again"
onto the frontfoot and pushes it towards mid-on with soft hands for a quick run
"full on middle, onto the frontfoot and driven to mid-off"
"length ball on middle, onto the frontfoot and pushes it to cover fielder"
"full outside off, onto the frontfoot and driven to cover again"
"floated on middle, onto the frontfoot and does a defense"
"tossed on middle-leg, onto the frontfoot and pushes it to short mid-wicket"
onto the backfoot and pushes it towards long-on but short mid-wicket across with a dive to stop it
"flighted up, onto the frontfoot and does a defense"
"tossed up, onto the backfoot and flicks it to on-side for a quick run"
"quicker on middle, comes straight after pitching and managed well down to long-on for a run"
"full outside off, drives it on the rise and superbly into the gap between covers, holds his position for the camera people around"
onto the frontfoot and drives it again but to the cover fielder this time
onto the frontfoot and pushes it back to the bowler
onto the backfoot and nudges it away to on-side for a run
"good length on off, punches it down to mid-off "
onto the frontfoot and does a defense
onto the backfoot and punches it to sweeper cover for a run
"short on the pads, tries to nudge it but gets it of his thigh pads to short mid-wicket"
"full on off, drives it firmly to short cover, who dives with a hand to it and slows it down to mid-off"
onto the backfoot and nudges it to on-side for a run
"short ball outside off, ducks down to let it through to the keeper"
"good length on middle, onto the backfoot and pushes it to on-side but to the fielder"
onto the backfoot and pushes it back to the bowler
"full on off, driven along the ground to the mid-off fielder"
onto the backfoot and punches it to the mid-on fielder
onto the frontfoot and doee back to the bowler
