"length ball wide outside off, left alone"
"<b>beats the outside edge</b> with some swing. Wobbles in and then out as he reaches out away from the body for a cover drive. A puff of dust as that hits the surface, in the first over itself"
"length on middle stump, punched back to the bowler on the up"
"short ball slanted across off stump, hangs the bat out aimlessly and is beaten"
"good length and down leg side, closes the face too early on the flick and it rolls into the off side"
"overpitched outside off stump, gets to the pitch and drills it between non-striker and mid-off"
"back of a length and swinging away wildly, way outside off. Batsman doesn't go after that"
"good length and just outside off, defended solidly on the front foot"
"good length and bending away outside off again, left alone. This was marginal, could have been called wide"
inswinger starts outside off and traps him on the pad as he looks to flick across the line. But he has gotten outside off stump and is safe
"short of a length and skidding straight outside off, left alone"
"123kph, good length and shaping in at the corridor. Defended on the front foot"
good length and wide outside off. Reaches out again with a stride and clips this across the line to deep square
"<b>plumb!</b> Beaten on the inside edge as he plonks the front leg across yet again. This length ball pitches in the corridor and nips back in. He's caught playing the wrong line and is struck dead in front of off stump. No doubt about that, and his partner tells him"
short of a length across the corridor. Dabs it into the off side with an angled bat
"<b>outside edge</b> sails over gully and trickles to third man. Length ball going across him and he chases it with hard hands, away from the body"
"back of a length in the corridor, he shapes to defend but withdraws the bat at the last moment to let it through"
"full and just outside off, driven to mid-off from the toe-end of the game"
"slower ball on a good length, just outside off stump. Defended to point on the front foot"
"slides this length ball down leg side, Shakib leaves"
good length and big swing into the left hander. He's unable to control the swing. This is deflected behind square leg off the pad
"good length and shaping in at off stump, blocked on the front foot"
<b>flicks aerially</b> but it's wide of midwicket. Full and coming into the pads and he reaches out well in front of the body. Not in control there
"good length and in at off stump, defended on the front foot"
"back of a length and coming into the pads, dabbed through square leg off the back foot"
good length and swinging in sharply. Jabs it on the up into the leg side
"back of a length on middle stump, gets on top of the bounce and checks the punch to midwicket"
good length and lifting up at off stump. Defended on the front foot off the high part of the bat
"short of a length on off stump, defended into the covers off the back foot"
short of a length and just outside off. Doesn't come on as he hopes. The cut is off the toe-end and straight to point
"<b>cut uppishly</b> but in the gap again. It's a loose shot, to be fair. Short ball in the corridor. Not too much room and he isn't on top of the bounce. In the air as he cuts and it lobs between point and cover"
"good length on off stump, defended on the front foot"
"full inswinger on leg stump, driven to mid-on"
"inswinger on a length at off stump, dead-batted into the pitch with a gap between bat and pad"
"full inswinger at leg stump again, punched to mid-on uppishly"
"Zimbabwe think they have Shakib caught behind down leg side. They've reviewed. It's going down leg side and he looks to flick it. Slight sound as he does so and it goes through to Taylor...<b>but it doesn't matter. He has overstepped.</b> It works out for Zimbabwe, they would have lost that review. It was off the pad."
full toss wide outside off. Backs away to try and flay this through cover. Toe-ends it into the off side
"good length and shaping away outside off, left alone"
"good length and in at off stump, defended on the front foot"
"back of a length in the corridor, walks at the ball and stabs as he's on the move. Thick outside edge lands in front of gully"
"<b>flies past the slip fielder!</b> Oh they had two slips last over, this one would have gone straight to the second one. Length ball climbs on Shakib as he chases with no feet. Big edge. First slip leaps to his left but that's too quick for him"
"<b>keeps low</b> and just misses off stump. In the corridor on a length, skids through at knee height as he anticipates this to come up at him on the back foot"
"full on leg stump, driven to mid-on"
"short of a length just outside off, chops it to gully off the under-edge"
"lovely shot. Nicely to the pitch of it outside off, drives through the line right off the middle of the bat and beats mid-off to his right"
length and rising into the body. Pokes it through square leg on the up
"good length and swinging down leg side, left alone"
good length and swinging in at off stump. Pushes hard in front of the body and gets it out to mid-off. Big gap between bat and pad
good length and sliding outside off. Looks to drive on the up and under-edges into the pitch
"good length and in at leg stump, tapped into the leg side"
"full and wide outside off, driven handsomely on the up past mid-off. Leans into this and uses his core strength as he springs while hitting this"
walks down the track and guides this incoming ball to fine leg
walks at it again. Length ball just outside off and he wafts at it on the move. Thick outside edge wide of third man
"good length and just outside off, beaten on the outside edge as he looks to defend on the front foot"
"good length just outside off, tapped into the covers on the front foot"
"full and just outside off. Almost yorks himself with the stride and is forced to dig it out, but he does well enough to beat Cremer's dive at mid-off"
"back of a length in the corridor, allows it to come on and steers it to third man"
"short of a length on middle stump, nudged through square leg off the back foot"
"length ball fired in on a middle stump, lifts off the pitch and takes the leading edge as he closes the face too early"
"back of a length on middle stump, angling across the batsman. Gets deep in the crease and taps it to square leg"
"good length just outside off, driven on the up towards mid-off"
"back of a length on middle stump, defended square into the off side off the back foot"
"back of a length on leg stump, tapped to fine leg from the crease"
"ah ruins a good over. Length ball on leg stump. Tamim stays put in the crease with a half-stride, and tickles it fine"
"good length on off stump, defended on the front foot"
"back of a length and turning away from off stump, can't get this flick away against the turn. Dribbles back towards the bowler"
"back of a length on middle, hurriedly tapped to extra cover"
"back of a length on off stump, punched to long-off off the back foot"
floated full and down leg side. Tamim can't connect on the flick as this spins back in. Taylor doesn't anticipate the turn and it skids through from between his legs
"length on leg stump, flicked to square leg"
"good length on leg stump, defended on the front foot"
"good length on off stump, defended into the covers on the front foot"
good length and just outside off. Tapped to point on the up
"good length and just outside off, driven on the up to extra cover"
sharp bouncer. A pity he's penalised for it. This spits up at Shakib and he's late as he swivels to try and hook. Resists in the end and watches it sail over his front shoulder
"good length on off stump, leading edge to backward point as he defends on the back foot"
"full and just outside off, driven on the up to extra cover"
"back of a length, skids through and strikes him on the pads in front of middle as he looks to flick off the back foot. Pitched outside leg"
"full and just outside off, flicked to deep midwicket on the front foot"
good length and drifted in at off stump. Defended on the front foot
"good length on off stump, defended off the back foot"
"floated up outside off, reaches out and turns it to deep midwicket on the full"
