"tossed up on leg, tries to flick it but gets it of hos pads down to fine leg region for a leg-bye"
"flighted up outside off, takes a good stride forwards and pushes it to cover fielder"
"flat and quick through tht air, onto the frontfoot and blocks it"
"tossed outside off, drives it on the rise but to the mid-off fielder"
"tossed outside off, goes for a reverse sweep and connects to perfection and gets it past point for thr first boundary of the game"
tossed up but gets it down the leg and wide given
"quick and straight, attacking the stumps but defended nicely of the backfoot"
"slow on leg, goes down on the knees and sweeps it nicely past short fine leg for a boundary"
"flighted outside off, onto the backfoot and pushed to mid-off"
"drags it short this time, onto the backfoot and pulls it straight to short mid-wicket but he drops a sitter "
"dragged short again, pulls it away to on-side again but with more control this time and gets him a run"
"looped outside off, pushes it back to the bowler"
"tossed up outside off, drives it nicely on the rise but to the point fielder "
"tossed outside off, goes for a slog sweep but doesn't connect and gets it of his pads"
"tossed outside off again, drives it back to the bowler this time"
"tossed up, hits it uppishly but safe on the bounce to long-on for a run"
"drags it short, onto the backfoot and pulls it high towards square leg, fielders looks intrested but doesn't reach it and it runs away for a boundary"
"tossed up, driven back to the bowler"
"flighted outside off, goes for a reverse sweep again and connects well and it runs between short thirdman and point for a boundary"
"slow outside off and dispatches it over covers for a six, great strike "
onto the backfoot and pushes it down to long-on for a run 
"tossed up, hits it hard and straight, one bounce and runs to the boundary"
"tossed on off, goes for a reverse slog and connects so well over point for a six "
"tossed up, pushed back to the bowler, good comeback after being hit "
"tosses it outside off and punished again, this time over covers for a six "
"tossed up, pushed to covers with soft hands for a quick run"
down the leg and wide given 
"tossed on leg, goes for a sweep but gets the bottom half of the bat past the keeper for a run"
"flat on the pads this time, tries to nudge it but gets it of thigh to short fine leg"
"flighted outside off, cuts it but to the point fielder"
"tossed on leg, tries to flick it but gets it of his thigh to on-side for a quick run"
"drags it short, pulls it away to on-side for a quick run"
"good lenght outside off, onto the backfoot and cuts it but doesn't get it well of the bat, point fields it nicely"
"full in the block hole, pushes it to mid-on of the backfoot"
"short outside off, goes for a cut from his stance but doesn't get anywhere near the ball"
"full into the pads, tries to drive it but gets a inside edge past the  leg-stump for a lucky boundary"
"short ball, goes for a pull and connects but straight to short mid-wicket for a straight forward catch"
onto the backfoot and does a defense back to the bowler
"tossed on leg, onto the backfoot and pushes it to on-side for a quick run"
"flighted outside off, tries to paddle it from outside off but gets hit on the pads"
"flighted on middle, onto the backfoot and blocks it "
"tossed up, drives it nicely along the ground to short mid-wicket "
"tossed outside off, goes for a reverse sweep and connects but to the short thirdman"
"quick and flat on leg, tries to paddle it but misses it and missed by the keeper aswell, runs away to the boundary of a wide"
"tossed up, drives it firmly to sweeper cover for a run"
"full on leg, nudges it away to on-side for a run"
"full on middle, driven down to long-on for a run"
"short outside off, stands his ground and scoops it last moment down to thirdman on the bounce for a run"
"good length on off, pushes it to cover of the backfoot but no run there"
"good length on off, plays it nicely to cover again but no run there "
"short outside off, cuts it late and on the bounce to thirdman"
"back of good length, pushed to sweeper cover for a run"
"good length on middle, onto the frontfoot and does a defense"
"good lenght outside off, tries to paddle it but gets it of his pads, non-striker runs and reaches him before he took of for a run"
"outside off, cuts it on the backfoot to the point fielder"
"full outside off, drives it on the rise but to the cover fielder"
"slower ball does the trick for him, tries to slog it towards mid-wicket but was through the shot too early and gets himself cleaned up"
