"good length up, pushed away to on-side for a run"
"drifting onto the pads, flicks it nicely past the short fine leg fielder for a boundary"
"good length on off, drives it to point fielder but no run there"
"back of length on the pads, nudges it away to on-side for a run"
"onto the pads, flicked of his pads to on-side for a quick run"
"full on off, drives it on the rise back to the bowler"
"full on off, drives it to cover fielder "
"good lenght on middle, onto the frontfoot and does a defense"
onto the backfoot and pushes it back to the bowler
"full on off, driven into covers for a couple"
"full on middle, driven back to the bowler "
"full outside off, drives it on the rise and past the cover fielder for a boundary"
onto the frontfoot and drives it back to the bowler
"full outside off, onto the frontfoot and drives it to short cover fielder"
"good length outside off, guides it down to thirdman for a run"
"back of length outside off, tries to cut it on the backfoot but doesn't connect well"
"short ball, goes for a pull but beaten as it got a bit too high for a pull shot"
onto the frontfoot and drives it to cover fielder 
"full outside off, onto the frontfoot and does a defensive push to short cover "
"good length outside off, onto the frontfoot and pushes it to cover point fielder"
"good length outside off, just enough to free his arms and swings at it and gets it past point for a boundary"
"back of length on the pads, moves across and nudges it to the right of short fine leg for a run"
"back of length, onto the backfoot and pushed towards mid-wicket for a run"
"short ball, onto the backfoot and pushes it to on-side for a run"
"good length on off-stump, lofts it over covers for a boundary"
onto the backfoot and plays it along the ground to point
"back of length on the pads, flicks it nicely and past short fine leg for a boundary"
"short ball, ducks away to let it through to the keeper"
good length onto the backfoot and does a defesnse
"onto the pads, flicks it down to fine leg for a run"
"good length on middle, pushed back to the bowler "
"good length outside off, gives it a full swing but misses it"
"full outside off, onto the frontfoot and pushes it between cover and point for a boundary"
"good length, pushed to cover fielder of the frontfoot"
onto the backfoot and does a defense
onto the backfoot and blocks it
"tossed up, onto the frontfoot and does a defense"
"tossed up, onto the backfoot and pushes it back to the bowler"
"flighted up, clears the frontleg and lofts it over mid-off for a boundary"
"flighted up, tries to sweep it but misses it"
"quicker outside off, cuts it but finds the fielder at point"
"flighted on middle, onto the frontfoot and does a defense"
"full outside off, punches it to point "
"full outside off, drives it and into the gap between point and cover for a boundary"
"outside off, guides it late down to thirdman for a run"
"short ball, ducks down to let it through to the keeper"
"good length on middle, onto the frontfoot and does a defense back to the bowler"
"good length on middle, tries to nudge it across to on-side but gets a leading edge and almost back to the bowler"
"tossed up, onto the frontfoot and does a defense"
"tossed up, comes down to the pitch of it and gets it over covers for a boundary"
"flighted up, onto the frontfoot and does a defense"
"quicker ball on leg, lofts it to mid-wicket but just for a run"
"flighted on middle, drives it uppishly to the left of mid-off and he almost took a blinder, gets a hand to it and it runs away for a boundary"
"tossed up, onto the frontfoot and pushed back to the bowler"
"good length on middle, driven back to the bowler"
"full outside off, looks to drive it but beaten"
"back of length, cuts it down to thirdman for a run"
"short ball, ducks down to let it through to the keeper"
"drifitng onto the pads, nudges it to short fine leg for a quick run"
"good length, onto the backfoot and does a defense"
onto the frontfoot and does a defense
"tossed on leg, nudges it away to on-side for a run"
"flighted up, lofts it towards mid-wicket for a couple"
"flighted outside off, tries to cut it but beaten"
"quicker outside off, goes for a cut again but gets an egde down to thirdman for a boundary"
onto the backfoot and pushed to on-side for a run
"short ball, tries to pull it but gets it of his gloves to the left of the keeper for a quick run"
"outside off, cuts it down to thirdman for a run"
onto the backfoot and does a defense
"good lenght on the pads, nudges it away to on-side for a run"
"outside off, guides it down to thirdman for a run"
onto the backfoot and cuts it to sweeper cover for a run
"tossed up, driven down to long-off for a run"
"a complete leg-spinner from sikandar, onto the backfoot and blocks it"
"outside off, cuts it past point for a run to sweeper cover "
"flighted outside off, onto the backfoot and tries to cut it but beaten"
"flighted up, onto the frontfoot to defend but beaten once again"
"tossed up, onto the frontfoot and drives it on the rise into covers for a boundary, no chance for the sweeper cover to cut it out"
"looped up, onto the backfoot and drags it away to on-side for a run"
