"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"good length on middle, and jagging into Chari's body. He mistimes a nudge to the leg side off his hips"
"full on off, and Chari gets onto the front foot to cover his off stump. Shoulders his arms thereafter as the ball flies into Sarfraz's gloves"
"big appeal for lbw, but not given! That was close. Landed on a length on off, and then came inwards to hit Chari on the front leg. Would've gone over off stump, perhaps"
"full outside off, and angling across Chari's body. He takes a step forward and shoulders his arms after that"
"full on off, and shaping away after pitching. Driven square to point"
"appeal first ball, but it's a muted one. Full on middle, and Chari bat-pads this onto his legs"
"back of a length outside leg stump, and Chari tries to pull this fine down the leg side. He misses, and Sarfraz intercepts from way beyond leg"
"back of a length outside leg stump, but angled into Chari's body. He can't tap it away on the leg side, and the rising ball hits his chest region"
"good length on middle, and Chari punches a back-foot drive to mid on with ease"
"good length on off, and he rides the bounce to punch to cover on this occasion. Finds the infielder once again"
"full on off, and defended to cover off the front foot"
"no they can't. Full on off, and he defends this with the angled bat to midwicket"
"good length on middle, but the ball stays low to Chibhabha! He's forced to bend his knees and somehow get bat to ball from in front of off stump. <b>Danger averted</b>"
"length ball on middle, and he tries to drive across the line. Mistimes it to midwicket"
"good length on off, and he taps it off the back foot to point. Finds the fielder once again"
"goes short! Lands outside leg, and flies over Chibhabha's helmet. He didn't even bother ducking because the ball was so short"
"good length outside off, and Chibhabha tries to steer this to third man. But his late dab finds the fielder at point once again"
"good length on off, and Chibhabha defends off the front foot. Played to the off side"
<b>big shout for lbw!</b> But not given by the umpire. It was a full delivery that Chibhabha couldn't flick to the leg side. Did it pitch outside leg? That's the only question the umpire had to deal with there. Probably the correct decision
"good length on middle, and firmly defended by Chari off the back foot. Tapped back to the bowler"
"good length on middle, and defended off the front foot. Played with soft hands, ensuring the ball stays on the ground"
"good length outside off, and swinging away from Chari! He tries to fish at this away from his body, and the moving ball finds the bat's outside edge. Sarfraz makes no mistake"
"good length delivery on off, and going across the captain's body. Left alone"
"full on off, and Masakadza comes forward to defend. Played to cover"
"length ball outside off, and through to Sarfraz's gloves. No shot offered"
"full, and wide outside off, and Chibhabha shuffles across to the off side and cuts this very square!"
"length ball on leg, and Chibhabha nudges this off the front foot to midwicket. Can't pierce the gap"
"full on middle, and that's been positively driven off the front foot. Played away from cover, and they can take off for a single"
"full outside off, and that's been <b>drilled</b> through the covers. Takes a big stride forward, and leans into this slapshot"
"length ball on off, and angling across Masakadza. Left alone by the captain"
"good length on middle, and the tall man rides the bounce to defend off the front foot"
"full just outside off, and Chibhabha plays a late cut to the gap on the off side. They scamper across for one"
"good length on middle, but taking a banana swing across the batsman's body! Masakadza sticks his bat out, and taps this to the off side rather tentatively"
"good length on off, and takes a <b>lot of bounce</b> after pitching. Masakadza shuffles across and tries to punch at it, but the ball swings away from him, and goes through to Safraz"
"full on off, and the outswinger is driven to the fielder near cover"
"good length on off, and Masakadza takes a big stride forward to cover his off stump. Shoulders his arms thereafter"
"full on middle, and that's been driven through the off side! Played with the angled bat, and shoveled past mid on for a boundary"
"full, and very wide outside off. Chibhabha reaches at it, and tries to drive, but he can only mistime his shot to the bowler"
"short and wide! Chibhabha tries to cut it through point, but the ball goes over his bat. Zimbabwe will feel like they've missed out"
"good length on off, and tapped to point off the back foot"
"good length outside off, and Chibhabha falls forward trying to defend off the front foot"
"full just outside off, and Chibhabha comes forward to defend. Played back to Faheem"
"length outside off, and cut away to cover point. Sweet sound of the bat, and Asif Ali misfields on the circle. He leaks an extra run, and boy, Sarfraz gives him the world famous stare!"
"<b>under edged!</b> It was too full for the cut, and the ball sneaks under his bat as Chibhabha tries to play this square. The ball was very low, and Sarfraz did an excellent job to dive diagonally forward to collect"
"length ball on leg stump, and all Musakanda can do is defend it to the leg side"
"good length on off, and that's been run down to third man off the back foot. Steered carefully between second slip and gully"
"back of a length on middle, and flies into Sarfraz's gloves as the batsman sways away"
"good length on off, and tapped away off the back foot. Played to point"
"full outside off, and Masakanda shoulders his arms. Escorts the ball into Sarfraz's gloves"
"good length on off, and pushed to the off side from behind the crease"
"good length outside off, and Musakanda tries to cut this hard. Perhaps too hard, and the ball sneaks under his bat"
"good length outside off, and that's been defended with soft hands. Played back to the bowler"
"good length outside off, and defended once again off the front foot. Played to the off side with the angled bat"
"<b>almost cleans up the umpire!</b> Full outside off, but Musakanda drags this straight past umpire Russell Tiffin for a boundary"
"full outside off, and defended away to backward point to see the over out"
"good length on off, and Masakadza runs this down to third man off the back foot. An easy jog across to the other side"
"back of a length on middle, and angling across the batsman. Musakanda tries to cut, and misses the shot, which makes Usman want to appeal for caught-behind. His team-mates don't join in though"
"good length on off, and defended off the front foot to the leg side"
"length ball on middle, but Musakanda had walked across to the off side to meet the ball near his toes. Taps this down the ground to midwicket with soft hands, and races off for a quick single"
"back of a length on leg, and Masakadza shovels this to midwicket for another single. Played from near his chest"
