"<B>outside edge</b> lobs in front of first slip. Possibly went off the thigh. Short of a length on middle stump, he defends inside the line on the back foot"
"full inswinger on leg stump, walks into it and flicks to deep square"
"bit of wobble at a middle stump line, on a good length. Watson gets forward to block"
full inswinger onto the pads. Leans in and flicks handsomely to deep square's left
"length on off stump, pushed across the batsman. Defended into the covers"
"short of a length outside off, jams it into the turf to point's left and calls early for the single"
short of a length with late swing away outside off. Skids low too as he shapes to cut this. Beaten on the under-edge
"short of a length outside off, chopped to third man"
short and wide outside off. Withdraws his shot after setting up for the cut
"length ball slanted in at the stumps, keeps very low as he gets behind the line. Forced to defend into the leg side"
"length on off stump, blocked into the off side"
"dropped short outside off, gets behind it and drags it wide of mid-on with a pull. That came on slowly off the pitch, but he got his timing just right"
length and into the corridor. Leans in and flicks to midwicket on the up
"<b>taken in his follow through!</b> Length ball pushed across him. Looks to hammer it on the rise into the off side. But it comes off slow again, and gets the bat's toe-end. Lobs back to Behrendorff who plucks it to his left"
"length outside off, through the drive too early. Gets an inside edge to short fine"
"full and wide outside off. Looks to drive through cover, gets it into the leg side off the toe"
"length on off stump, nudged to extra cover on the rise"
"length outside off, walks into the off side and clips to deep square"
<B>shot!</b> Elite timing from Ferguson. Short of a length and just outside off and he opens the face and chops this just right to get it to blaze away to point's right
"slower ball at a length on leg stump, stabbed through the square leg region off the front foot"
short of a length on his hips. Hangs on top of it and nudges this wide of short fine leg with the angle
"length outside off, gets forward to punch and nutmeg the bowler. Mid-on cleans up"
"length on off stump, gets across to flick to deep midwicket"
"length ball outside off, looks to push through cover. Gets it to mid-on off the inside half"
"length on off stump, looks to poke through cover and gets it to mid-on again. Off the inside half"
"full outside off, stays slightly leg side of it and opens the face as he drives to get this between mid-off and extra cover"
"full on off stump, shuffles across and flicks to deep square"
"<b>scoops him over fine leg!</b> Length ball pushed across off stump. Quickly falls into the off side, dips his shoulder and watches it closely as he lifts it fine"
slower ball floated up at off stump. Drilled straight back at the bowler
"length outside off, tapped on the rise to extra cover's right"
"length at leg stump, walks at it and looks to flick. Cops it on the thigh"
"length on leg stump, clipped on the up to deep square"
<b>waits on the slower ball</b> as it floats away from him and then meets it on the half-volley outside off. Jabs at it and gets it between cover and extra
"length on middle stump, flicked to deep square"
"superb. Ferguson has gauged the pace of this pitch so well. Slower, short of a length just outside off. Waits on it and gets a cut to backward point's left this time. Beats third man too"
"slower ball, length outside off. Gets behind it to flick in front of short fine"
"length outside off, blocked into the off side"
"full on leg stump, driven to long-on"
"length outside off, reverse-sweep finds short third"
"length outside off, punched to sweeper on the rise"
"short and just outside off, cut to sweeper's left"
"length outside off, tapped into the covers off the toe-end"
"length on leg stump, flicked to short fine's left"
"slower ball at a length on leg stump, trickles down leg side as he looks to flick it"
"short of good length outside off, punched to cover"
"short of good length outside off, swivel-pulled to deep square leg"
"short, strangles him for room, tries to hook and the ball goes over the bat"
this time he gets a lot more width outside and swings hard at a pull but this time he's beaten by pace
"shortish, angled in, arches back and runs it down to third man"
"slider on leg stump, keeps low as he whips it away to square leg"
"short of length, spinning away, cut to deep cover"
""
flashes away from the body and gets an inside edge towards short fine leg
swipes hard across the line and doesn't quite middle it as it rolls away between deep midwicket and long-on
backs away and forces a cut to deep point
"short of a length outside off, looks to swat into the leg side and ends up slicing it over the bowler"
short and down leg side. Shapes to ramp this but it jumps too wide
"slower ball, dropped short and sitting up at leg stump. Waits on it and swipes through to find the long leg boundary"
slower ball at a length on leg stump. Gets down to ramp and adjusts to paddle it to fine leg
"short and just outside off. Backs away and looks to cut, but is beaten"
"full at middle stump, steps across and flicks to deep square leg"
short at off stump. Under-edge on the pull to fine leg
"length on leg stump, flicked to deep square's left"
"length outside off, check-drive to extra cover's right"
"full slower ball on leg stump, flicked through midwicket"
full and skidding through quickly outside off. Slashes at it and is beaten
slower ball at a length wide outside off. Steps out and check-punches this to Agar's left at mid-off...and his dive is half-baked and this slips through
short of a length and rising above middle stump. Backs away and slashes at it to be beaten
"length ball down leg side, can't get bat on the flick"
"slower ball full at middle stump, driven down to long-on"
"short ball outside off, gets a nice big swing at this pull, but he finds midwicket on the bounce"
"slower ball, full at leg stump. Clipped to deep square"
"short ball just outside off, rolls his wrists and gets this pull to deep square's right"
full and in at leg stump. Flicks between fine leg and deep square
"short ball outside off, looks to pull and gets a top edge into the midwicket area"
"full at leg stump, steps out and yorks himself. Off the inside edge to deep square as he looks to drive"
"length at middle stump, steps out and drives to long-on off the toe-end"
full and in at leg stump. Dragged to deep midwicket off the inside half
"<b>clears deep midwicket!</b> Sweet connection from Ferguson. Length ball outside off, gets down for the sweep and swings hard to nail this slog sweep and get it over the boundary, flat"
<b>middle stump is out.</b> That stays shin height from a short length. Ferguson backs away to try and punch through cover and there's no way he can stop this from hitting the stumps. Kept too low
length ball skidding low at off stump. Gets deep in the crease and stabs into the off side
"slower ball, full outside off. Jammed into the covers"
slower ball at a length outside off. Looks to stab it through cover. Rolls back past the bowler off the inside half
"slower ball, short of a length outside off. Under-edge through to the keeper as he looks to cut"
"<b>past off stump</b> before rolling through to the keeper. Slower ball at a length, just outside off. Swings across the line and is beaten as this goes shin height"
"slower ball at a length outside off, driven to sweeper's right"
"short ball at middle stump. Loses his balance as he looks to pull, but gets this down to fine leg"
"<b>class!</b> Superb feet from Root. Length outside off, he steps out to meet it at the pitch and uses the turn to launch this over extra cover"
"<b>rolls onto the stumps off his pad.</b> Another one keeps low. Length ball, headed down leg side. Looks to sweep and this deflects off the front pad and rolls on from under him"
"short and wide outside off, cut to sweeper cover"
"length on leg stump, poked through midwicket off the back foot"
length ball skidding low at leg stump. Hurriedly pushed back to the bowler off the back foot
short and outside off. Backs away to cut to sweeper cover
"short and wide outside off, cut to sweeper's left"
"slower short ball outside off, pulled to deep square off the inside half"
"slower ball at a length outside off, looks to stab through cover. Gets it to long-on"
"<b>taken at long-off!</b> Agar leaps to his left and holds on. This was a slower ball, dropped short outside off. He lined up and summoned all his core strength to slap this, but couldn't get it over Agar. Big wicket for Scorchers"
"dropped short outside off, pulled straight to deep midwicket"
"short ball at off stump. Gets under it and looks to hook, beaten"
"slower ball, short of a length and in at leg stump. Looks to pull and cops this on the thigh"
"<b>reverse swat for the fifty!</b> Slower ball in the corridor again. Arches back a tough and swats to try and go over short third man. Ends up slicing it much finer, but that's the result he wanted"
"bouncer at off stump, late on the hook. Lobbed into the square leg region"
"length on leg stump, tapped through mid-on off the inside half"
length and in at middle stump. Backs into the off side and ramps it fine. Fine leg gets across to his right and keeps this in
"length outside off, punched to long-off's left on the up"
"<b>hit wicket!</b> That full slower ball is so slow, Buttler's swing on the reverse-sweep has come extremely early. It's longer as a result, because he still has eyes on the ball. Makes connection with it too, off the inside edge. It rolls through to the keeper but he hits the stumps with that same edge"
"bouncer in the corridor, backs away to try and ramp it. Beaten"
"full and in at leg stump. Backs away to try and drive through the leg side. Inside edge onto pad, trickles pitch side into the leg side"
<b>hits the helmet.</b> Bouncer gets big on him as he steps out premeditatedly. He's on the front foot as he looks to hit this and takes his eyes off it. Hits him on the side of the head. He's on his feet though.
short ball up at the chest. Caught on the front foot and hooking from under it again. Top edge to fine leg's right
"dropped short outside off, gets a nice swing into this pull and gets it to the vacant midwicket boundary"
"full and wide outside off, slashes at it and is beaten"
"length ball in at leg stump. Squats and swipes from under, ends up slicing it straight to deep square"
"yorker at leg stump, following him down leg side. He jabs it to long-on off the toe-end"
"slower ball at a length down leg side. Looks to shovel this into the leg side, gets it on the thigh"
short and just outside off. Backs away to cut and gets an inside edge into the pitch
"length ball at off stump, backs away and absolutely pummels this on the up, straight past the bowler. Mid-off is in and long-on has no chance"
"slower ball at a length, wide outside off. <b>Long-off completely misses this!</b> A swat from Sandhu that is lobbed up at NCN at long-off. He runs in and...lets it go. It was to his left and he didn't know"
"length on middle stump, slogs off the toe-end to long-on's left"
"slower ball, full outside off. Sets up for and there's plenty of room for him to swing through the line. Gets it right off the middle and well wide of mid-off"
"yorker at off stump, drills it back at the bowler who fumbles in his follow through and allows a single on the leg side"
"slower ball, short and climbing across the corridor. Backs away for the pull but misses"
"full at middle stump, looks to slog this and gets it off the toe-end. It drops to deep midwicket's right and they come back for the second"
"full, slanted across off, pushed into the covers"
"back of a length, pitching outside leg, tucked fine"
"full, swinging away outside off, runs it away to third man with an open face"
"good length outside off, drops in front of mid-off for a quick one"
"full outside off, driven to extra cover"
"nips away outside off, rolls off the outside edge down to third man"
"slanted across quick, beats the flashing bat"
"good length, slanted across off, defended"
"fuller, flicks this from middle stump back to Cook who slightly fumbles after getting down to his left"
"full, sliding into middle, driven to long-on"
"floated up outside off, whipped back to the bowler"
"on a length and spinning in, nudged behind square off the pad"
"full outside off, reaches out and pushes to cover"
"short, slanted across on off, turns around and pulls behind square leg"
"short, pitching outside leg and going sharply over him"
"short of good length on off, punched to point"
"full, angling into the pads, clipped to square leg"
"back of a length, pushed across, punched behind point"
""
drives a fuller one to mid-off
clips a fuller one off the toes to deep square leg
"sliding into middle and leg, tries to launch it over but with the kind of pace on offer, all he can do is launch it into the hands of long-on running to his right"
"looped up on leg stump, clipped to square leg"
flicks a fuller one off the pads to deep midwicket
"length on leg stump, looks to play the flick. Pings into the leg side off the pad"
"length on leg stump, flicked straight to midwicket where Watson misfields"
"length on middle stump, tapped to mid-on with soft hands"
"slower ball at a length on leg stump, defended into the leg side"
"length on middle stump, tapped to deep square's left"
slower ball at a length outside off. Looks to chip into the leg side and gets a leading edge to third man
"length on leg stump, clipped to deep square off the back foot"
"full at off stump, jammed out to mid-off"
"length on leg stump, pushes at it as it slides on. Inside edge to short fine"
"length outside off, uppish punch past the bowler"
"length at off stump, gets the front leg across and pushes down the pitch"
length and skidding down leg side. Can't get bat on that and the keeper can't hold on. Single at short fine
"googly, dropped short and turning down leg"
"googly at a length outside off, gets on the front foot and pushes into the off side"
"length outside off, steps out and drives to sweeper cover"
"length on off stump, gets on the back foot and flicks to deep square's left"
"short at leg stump, gets deep in the crease and drags to deep square's left"
"low full toss on leg stump, flicked to deep square's left"
"googly, short of a length on leg stump. Gets deep in the crease and punches to long-on"
length and pushed through fast at leg stump. Flicked to deep midwicket
"length outside off, toe-ends a lofted drive to long-off"
length ball pushed across off stump. Steps out and pushes down the pitch
"short of a length on off stump, tapped back to the bowler"
"<b>clears long-on!</b> Great connection from Bancroft. Full on middle stump, plonks the front leg down and uses the pace of Green to gets this off the higher part of the middle"
"length on leg stump, tapped through square leg off the back foot"
"full on leg stump, driven to long-on off the front foot"
"googly, sliding in and low outside off from a short length. Beaten on the cut"
"length on leg stump, clipped hurriedly to deep midwicket"
"length on leg stump, tapped to midwicket off the back foot"
"<b>that looks plumb!</b> Klinger rooted to the crease as this googly rips back in. Looks to play across the line, trying to flick through midwicket. Trapped right in front of middle stump"
"length ball, skidding low outside off. Chopped into the covers"
"length on leg stump, flicked to midwicket"
"short of a length, low and in at leg stump. Tapped to midwicket off the back foot"
"length outside off, gets forward and stabs at it. Inside edge onto front foot"
"<b>was that outside off?</b> No, thinks the umpire. Length ball skidding through low and in at off stump. Bancroft shuffles across to flick and might be caught just inside the line. There was no forward stride there, so no doubt about height"
"length ball outside off, skids past the inside edge as he hangs his bat away from the body. Massive gap between bat and pad"
"length outside off, driven uppishly to long-off"
"tossed up at middle stump, pushed to midwicket off the inside half"
"length on leg stump, poked down to long-on"
"<b>taken one-handed at slip!</b> Watson sticks his left hand out and grabs onto this outside edge. Length ball pushed through flat outside off. Agar steps out and looks to go leg side, but he isn't to the pitch and this spins just enough. Superb reflexes from Watson, that bat speed was high on that. Ball was really flying away"
"length at leg stump, looks to push to long-on, gets an inside edge onto pad"
"length at leg stump, defended to midwicket off the inside edge"
"length just outside off, hurriedly poked to extra cover's left and they make the run despite a mix-up"
"<b>direct hit!</b> From deep point! Length ball outside off, poked off the front foot to sweeper's left. He rockets a throw at the base of off stump as Cartwright comes back for the second. Stunning."
"full on middle stump, gets down to paddle this to short fine"
"length on middle stump, keeps low as he makes room and taps to extra cover"
"length at leg stump, punched to long-on"
"length at leg stump, flicked to deep square's right"
short of a length and keeping low outside off. Tapped to midwicket's left off the toe-end
length ball skidding in at middle stump. Gets very low and uses the angle to paddle this past short fine
"length ball down leg side this time and a powerful sweep from Bosisto. Deep square covers a lot of ground to his right and puts in a dive to get his hands on this, but it trickles into the boundary behind him as he slides to the right"
"length outside off, dropped pitch side on the off side off the front foot"
"full on middle stump, flicked to deep midwicket's left"
"googly outside off, keeps low as he gets down to sweep and is beaten"
"length on middle stump, swept to short fine's left"
<b>run-out chance missed.</b> Length ball pushed flat at middle stump. Gets forward to defend and gets an inside edge into the leg side. Turner takes off for the run without calling. Bowler can't hit direct as he's sent back
"length on leg stump, nudged through square leg off the inside half"
"length outside off, flicked to long-on's right"
length and skidding low at leg stump. Tapped to long-on
"length on off stump, looks to close the face on this, gets a leading edge back to the bowler"
"length outside off, gets across into the leg side, pushes through midwicket"
"length outside off, poked through cover off the front foot"
"short of a length in at off stump. Tapped to extra cover's right. A direct hit from Watson there, running in and flicking at the stumps with an underarm. But he was in. And they take the second as the ball deflects into the leg side"
"short and wide outside off, throws his hands at this and gets a thick outside edge that flies to short third man's left"
length and in at leg stump. Cops it on the pad as he looks to flick
<b>past off stump.</b> Rolls the fingers on this and gets it to straighten after angling in at off stump on a good length. Turner heaves at it and is beaten
short and in at leg stump. Flicked to fine leg's left
slower ball at a length on middle stump. Thick outside edge into the off side as he looks to close the face on this
"short of a length at off stump, flicked to deep square's right"
short ball rising up at middle stump. Looks to pull and gets an inside edge onto body that deflects to short third man
"<b>over fine leg</b> and into the boundary, one bounce. Misjudged by the fielder down there. Bouncer and he swipes under it. Top edge sails over the fielder, who is already a couple of yards in on the long boundary before he takes forward strides"
"slower short ball at the waist, pulled to fine leg's left"
"slower ball at a length on off stump, tapped to extra cover's right off the front foot"
slower ball wide outside off. Shapes to drive and is forced to check his shot. Pushes it back down the pitch
"low full toss outside off, driven to long-off's left"
"slower short ball outside off, pulled firmly between deep midwicket and long-on"
"slower ball at a length outside off, dragged to deep midwicket with a slog"
"slower ball, wide outside off at a good length. Swept to deep square"
"low full toss wide outside off, tapped to sweeper's right"
"length ball just outside leg stump. Runs down at it and has a slog, cops it on the pad"
yorker length at leg stump. Looks to flick and cops it on the toe
"short of a length at leg stump, steps out and cops it on the thigh as he looks to flick. Buttler swoops down on it, swivels and puts in a throw that misses at the other end. <b>Would have been out</b>"
full and wide and slow outside off. Batsman's moved a long way down leg side and toe-ends this to long-off
"low full toss on off stump, backs away, makes room, and hammers this back past the non-striker"
<b>pumps it long over long-on!</b> Green slows it down and beats him in flight outside off. He runs down at it and clubs it anyway. Superb connection despite having to reach out a long way. A great over has turned in the last two balls
slower short ball outside off. Pulled past the non-striker and to long-on's left
"slower ball, short and wide outside off. Gets low and chops it to sweeper's left"
"full and wide outside off, inside edge onto the pitch and into the body as he backs away and looks to carve this"
"looks for the reverse ramp but can't get bat on it. Slower ball, short of a length in the corridor. Clips his back thigh and rolls through to Buttler"
"slower ball, at a length and wide outside off. Swipes at it and is beaten. Buttler can't collect cleanly as this dies on him"
short ball in at the hips. Walks at it and pulls to deep square's right
"slower ball, yorker length outside off. Tough to hit that. Meets it on the full and jams it out to long-o"
"<b>bisects deep midwicket and long-on!</b> And that's fifty for Turner. Slower ball at a length, skidding in at middle stump and he gets behind the line to punch this firmly. Strong arms"
"slower ball, cutting away from the wide marker. But Turner swipes at it and gets it to long-off off the toe-end. Sandhu is slow there and they pick up the second"
<b>beats deep square leg!</b> Sams with a thigh-high full toss at off stump. Turner walks into the off side and shovels it behind square on the leg side. Fielder sprints and lunges at this but can't get his fingers on it
"<b>wide!</b> The home crowd cannot believe this. Are those boos for the umpire? He isn't wrong here at all. Short of a length, turning a long way away outside off"
"full and wide outside off, very very wide outside off. Left alone. Turner's shuffles into the off side is forcing him to push it wide"
"<b>just clears extra cover.</b> Good slower ball, full outside off. Doesn't get to the pitch as he looks to drill this straight. Thick outside edge is over Watson"
"<b>he's done it!</b> Sams has just about held on. Slower ball, short of a length outside off. Turns away from him as he goes angled-bat on this and across the line. Can only get it along the floor to long-on's left"
