"starts with a short of length delivery, worked away towards square leg, off the mark straightaway"
"pitched up, defended towards mid-on"
"around the wicket, angling in and moving away, thin outside edge and Roach makes an early breakthrough"
"pitched up at the stump, pushes forward and gets an inside edge towards fine leg, gets off the mark"
"fuller outside off, moves across before leaving it alone"
"fuller again, comes forward and gets an outside edge past gully, comes back for the second"
"fuller on the stumps, Mominul comes forward and pushes it towards mid-on"
"on the pads and flicked away, first boundary of the Test, the fine leg dives across to his right but couldn't stop it"
"short of length, just outside off, stays in the crease and blocks, almost 142kph that one from Gabriel"
"drifting down once again, Mominul looks to work it off his hips, too far away from him"
"short and wide outside off this time, Mominul gets on the top of the bounce and cuts it past backward point for his second boundary"
"almost a yorker this time, just around off, jammed towards mid-on"
"in the corridor from around the wicket, left alone"
"short of length, a similar line once again, shouldered arms"
"much straighter this time, on the pads and tucked away towards short midwicket"
"short of length, slightly outside off, punched off the back foot towards extra cover"
"a touch fuller and wider, forces it towards point on this occasion"
"in the corridor, wide outside off, bounces once again before reaching the wicketkeeper as Mominul leaves it alone"
"fuller outside off, punched towards extra cover"
"back of length this time, just outside off, pushed on the off side"
"a touch fuller and just around off, 143 kph, almost squares Mominul off as he defends it on the off side"
"short, angling in towards the rib cage, Mominul goes back and rolls it wrists over it to find another boundary to fine leg"
"pitched up this time, on the stumps, Mominul punch it past mid-on, who chases it to save one run for his side"
"down the leg side this time, Imrul looks to flick but misses, the ball brushes his pads on the way to Dowrich"
"a touch fuller outside off, Mominul comes forward to drive, mistimes it towards to extra cover"
"a touch shorter this time, transfers his weight back and looks to punch, too close to the body though, chopped towards point"
"an <b>inside edge</b> this time, goes through the batsman's pads, lucky for Mominul there as he gets to the other end with a single"
"<b>dropped</b> by Chase at second slip, a thick healthy edge to a length ball as Imrul pushes at it, was a regulation catch but grassed"
"this one comes back in after pitching, Imrul was looking to punch it through covers, gets beaten. Once again on the second bounce to the keeper"
"in the corridor, length outside off and left alone"
"fuller, angling across the left-hander, pushed back towards the bowler"
"back of length this time, rising and angling, Mominul stays inside and punches it towards covers"
"goes for the bouncer, but it's down the leg side and pulled away towards fine leg, but guess what, Gabriel has overstepped"
"length ball, coming in with the angle, Imrul stays back and defends"
"fuller outside off, Imrul squeezes it towards gully region"
"aiming for the yorker once again, fuller on the stumps, punched towards mid-on"
"fuller and angling in, tucked away towards midwicket"
"length ball, around off, punched off the back foot towards covers"
"a touch fuller and wider, comes forward before leaving it alone"
a touch fuller and driven but couldn't beat the man at cover once again
"length, in the corridor, Mominul moves across before shouldering arms"
"a similar line and length this time, comes forward and leaves it alone once more"
"a touch fuller this time, pushes it gently towards the right of the cover fielder and takes a quick single"
"length outside off, stays in his crease and steers it towards point"
"another no-ball, on the pads as well and tucked away for a single"
"length ball from around the wicket, Imrul once again pushes at it and gets a thick outside edge, on the bounce to third slip"
"a touch fuller, just outside off, Imrul presents the full face of the bat and drives it past mid-off, the fielder gives chases and pulls it just inside but doesn't matter as <strong>the batsmen run four</strong> themselves"
"driven firmly once again, this time towards short extra cover, was in the air for a while but well short of the fielder"
"in the rib cage this time, trying to mix-it up Gabriel, Imrul fends at it and gets a leg-bye to short fine leg"
"length, in the corridor and Mominul has been very watchful of those, lets it go once again"
"length around off, comes forward and blocks"
"back of length this time, Imrul stays in his crease and defends down the wicket"
"short and wide and looks to smash it on the up, mistimes it to covers"
"a touch fuller and on the stumps, the ball hits the inner half of the bat and rolls towards fine leg as Imrul looks to defend"
"driven beautifully, gets down on one knee and extends his arms, the outfield is a tad slow, so he would get only a couple of runs for his effort"
"a touch shorter this time, Mominul looks to defend it on the off side, gets a thick inside edge on the shoe"
"short of length, in the rib cage, Imrul jumps in the air and works it towards fine leg"
"back of length outside off, works it towards point"
"fuller and driven through covers, a couple of runs more for Mominul in that region"
"fuller on the pads this time, tucked away behind square to get on the other end"
"short of length, angling in and tucked away past that man in the helmet, who is more closer to backward square leg and short leg. Once again some exchange of words between Gabriel and Imrul"
just outside off and fuller to Mominul who comes forward and defends it towards covers
"fuller and wider and Imrul chases it, throws his bat at it and gets lucky. The ball hits the outside edge and flies races towards the third-man boundary, was in the air for a fair bit"
"length this time, just outside off, comes forward and defends"
"length again, just outside off, defended on the front foot once again"
"angling on the pads from a length this occasion, glanced towards fine leg"
"fuller outside off, driven on the front foot but not much power and timing behind it, mid-off moves across to his left to cut it off"
"slower one this time short outside off, almost a forehand by Mominul for a single towards midwicket"
"full on off stump, defended down the pitch"
"full on leg stump, flicked to deep square"
"length and some turn away from off stump, defended to short third off the outside half"
"length on leg stump, nudged to deep square off the back foot"
"length at leg stump, defended off the inside half"
"tossed up outside off, driven to short extra"
"length at leg stump, flicked to short fine leg on the front foot"
<b>he's holed out to deep square but Warrican has overstepped!</b> Below-average cricket all around. Length at off stump and Kayes takes him on with a slog sweep and finds deep square. Poor option
"length at off stump, defended off the back foot"
"length at off stump, defended off the back foot"
"length ball pushed through flat, turning in sharply at middle stump. Tapped to midwicket off the back foot"
"length at leg stump, defended off the back foot"
"length outside off, defended down the pitch"
"short and wide outside off, rides the turn and places this cut shot past backward point. Good hands"
<b>past the outside edge.</b> Big turn. Length outside off and it rips a long way past as he looks to defend
"length at middle stump, defended on the front foot"
"length outside off, defended into the covers"
"length outside off, defended off the back foot"
"full outside off, driven with the turn to cover"
length ball turning down leg side. Stays deep in the crease and tickles it fine
"short of a length at a leg stump line and spinning a long way down again. It spins past the keeper and runs away past short fine. They come back for a quick second and he makes it with a dive, <b>third umpire confirms</b>"
"full toss on middle stump, plants the front leg across and plays the reverse sweep to find the backward point boundary"
"length ball climbing at leg stump, looks to glance and it finds leg slip on the bounce"
"length on off stump, defended off the back foot"
"full on middle stump, defended on the front foot"
"short at off stump, gets deep in the crease and pulls aerially through midwicket. Off the low end of the bat, but he had the placement right"
"length on middle stump, defended off the back foot"
<b>gorgeous.</b> Length at middle stump. Steps out to meet it at the pitch and lofts it over mid-on with the full face
"length at the stumps, defended from deep in the crease"
"length at leg stump, turned into the leg side"
"short and wide outside off, rocks back and chops it away through point. Mominul is right on top of this attack at the moment"
"short of a length on leg stump, glanced to short fine"
"length at off stump, blocked on the front foot"
"length outside off, dead-batted off the front foot"
"length at leg stump, flicked to short fine"
"length in the corridor, defended off the back foot"
"full on middle stump, pulls out the reverse sweep again and finds backward point"
<b>inside edge</b> as he plays for the turn. This comes back in with the arm and rolls away into the short fine region
"tossed up at off stump, driven to extra cover"
"length outside off, jabs at it with hard hands to defend on the front foot"
"length at off stump, driven back to the bowler"
"tossed up wide outside off, toe-ended drive to extra cover"
"length outside off, hurriedly drives to long-off on the up"
"length and turning in at off stump, defended off the back foot"
"length ball at leg stump, ripping further down. Dowrich gets across and stops with his leg"
"length at leg stump, gets under it and sweeps uppishly over short fine. That was climbing down leg and he used the steepness to get it over"
"length at leg stump, tapped to short midwicket"
"length at leg stump, nudged to short fine off the pad"
"length at off stump, driven to mid-off"
"length outside off, blocked on the front foot"
full and in at off stump. Gets forward to defend and gets an inside edge onto pad
"full outside off, driven to short extra cover"
"length at off stump, defended off the inside half of the bat"
"length at off stump, steers it to point's right with the turn"
"full on off stump, driven to mid-off with the turn"
"length at middle, rides the turn and bounce and steers to short fine"
"length at middle, plays inside the line but this skids on and takes the outside half of the bat to run past first slip"
"length at middle stump, flicked to short fine with the turn"
"length outside off, steps out and jabs it down the pitch"
"length outside off, gets forward to flick, cops it on the pad"
"length at off stump, defended off the back foot"
"length outside off, steps out and bat-pads it into the off side"
"short of a length outside off, hurriedly chopped to point"
"tossed up outside off, driven with the turn of sweeper cover"
"length on off stump, defended off the back foot"
"short and wide outside off, cut to sweeper cover"
"full on off stump, defended on the front foot"
"full outside off, dabbed into the covers with soft hands"
"full at middle stump, defended into the leg side"
<b>fielded at short midwicket</b> with a dive. Hetmyer lunges to his left as the batsman steps out and slugs this from outside off with the turn
"length at middle, defended off the back foot"
"length outside off, steps out and drives to long-on"
"length outside off, climbs on him and gets him on the body as he looks to defend on the front foot"
"full outside off, jammed down to long-off"
"full outside off, driven to long-off"
"tossed up outside off, gets to the pitch and jabs with the turn to get a single to long-off's right. <b>That brings up his fifty</b> and he makes big runs when he gets fifty on this ground"
"length outside off, driven to long-off"
"length at off stump, defended on the front foot"
"full on off stump, defended on the front foot"
"tossed up outside off, steps out and flicks to long-on"
"full at leg stump, gets across and sweeps to the backward square boundary. Once again, didn't try to keep that down"
"short of a length outside off, turning back in towards off stump. Inside edge onto pad as he looks to cut this"
"length at middle stump, poked in front of short fine off the back foot"
"length on off stump, defended off the inside half of the bat"
"short of a length at leg stump, whipped to short fine off the back foot"
"length outside off, gets back and flicks to deep square"
dropped short and turning in at middle stump. Pulls uppishly to deep midwicket
short and in at off stump. Backs away and chops to sweeper cover
"length outside off, tapped through cover off the back foot"
"length at leg stump, defended off the back foot"
"dropped very short outside off, punched to sweeper cover"
"nicely placed. Length ball outside off, reverse-whips this to deep point's right and <b>that is hundred for the pair</b>"
"length at leg stump, tapped to short midwicket's right"
"length and wide outside off, looks to sweep and cops it on the back thigh outside the line"
"short at middle stump, gets deep in the crease and hammers this in front of square with a pull"
"<b>taps it straight to short leg!</b> Oh that is soft. Loses focus with minutes left for lunch. He's been somewhat careless with the leg glance all morning, often going with hard hands, and that is what he's done again. Short of a length ball, keeps low at leg stump. He gets deep in the crease and pushes from in front of the body and it's like catching practice. Was on top of the bounce but didn't roll the wrists, and he's given it away just when he'd started to look good"
"length ball on the stumps, defended on the back foot"
"starts with a fuller one around off, punched back towards the bowler"
"back of length this time, around fourth stump, defended back once again"
"full and wide and Mominul leans into it, was in the air but through the gap, the backward-point fielder cuts it off"
"pitched-up once again but this time on the off stump, punched firmly but couldn't get past mid-on"
"back of length, once again mixing it up, blocked on the off side"
"a high full-toss outside off, Mominul steers it towards deep backward point once again but straight towards the fielder this time"
"short of length outside off, Mithun goes for the cut, mistimes it into the ground"
"fuller around off, driven firmly but straight to extra cover"
"much slower in the air this time, stays in the crease and defends"
"fuller and pushed to the left of the mid-off, sets off as soon as he hits it and gets off the mark with a quick single"
"full and wide and Mominul finds the boundary this time, reaches out for it and steers it through covers"
"flighted outside off, comes forward and smothers it"
"fuller outside off, Mithun looks to smash it through covers, was nowhere near the pitch of the ball, inside edge into the ground"
"a touch fuller and much closer to the stumps, keeps coming in with the angle, left alone"
"length again, sixth stump line and shouldered arms once more"
"a yorker, just outside off, Mithun jams his bat at it and squeezes it out towards covers"
"fuller again, punched on the front foot, full face of the bat but couldn't beat the extra-cover fielder"
"fuller again, just outside off. Mithun comes forward and defends"
"length ball, just outside off, defended from the crease"
"short of length this time, spinning back into Mominul who helps it towards square leg"
"struck and struck hard. Takes his front leg out and smashes it down the ground, on the left of the bowler for his first boundary"
"looks to go hard again, slaps this length ball towards extra cover, didn't get the timing right this time"
"slower in the air, around middle and leg, defended"
"looks it paddle it from outside off, but it was too full and spun away, kept a little low as well, no connection with the willow there"
"length ball from around the wicket, gets behind the line of the ball and blocks"
"back of length outside off, Mominul stays inside the line and soft-hands it towards point for an easy single, the cover fielder cuts it off as backward point is near the boundary"
"bouncer but doesn't bounce that much, Mithun takes his eyes off as he looks to duck, gets hit on the biceps"
"another short one, Mithun was ready for it and goes for the pull. However, ends up under-edging it on to the left leg, makes a gesture that it came slower off the surface"
"another short delivery, just outside off, Mithun rides on his toes and defends it into the ground"
"length, in the corridor and shouldered arms this time"
"tossed up outside off, Mominul looks to drive through covers, a bit of turn means the ball goes towards leg side off the inner half"
"a touch wider this time, pushes again, the ball rolls towards backward point"
"down the track but beaten in the flight, gets an inside edge on the body"
"use of feet once again, looks to work it down the ground but the ball goes towards square leg"
driven along the ground towards long-off for another single
"short of length outside off, goes back and punches it towards extra cover"
"fuller, tailing in a bit as Mithun looks to drive through off side, gets an inside edge on the pads"
"short but way down the leg side, Mithun is not bothered at all"
"short of length outside off, pushed the batsman back again, dabbed towards cover-point"
"another short one, but doesn't rise much, Mithun gets on the top of the bounce and drops it on the leg side"
"length outside off, sixth stump line and left alone"
"angled in from wide off the crease, fuller outside off and defended, a <b>four-minute-40-second over</b>, they say on the TV"
"length ball, on the stumps, Mominul goes back and punches it towards extra cover"
"length ball, on the pads, tucked away towards square leg for a single"
"short of length on middle and leg, Mithun rocks back and pulls it towards deep midwicket for a boundary, gives it the treatment it deserved"
"<b>an outside edge</b> but rolls past first slip, was fuller on middle and leg, Mithun pushes forward but the ball spins away to take the outside edge"
"some slow turn once again but it was too short, Mithun was early into the shot, ends up chipping it towards long-on"
"<b>dropped</b>, another chance goes down, it was a touch fuller outside off, Mominul pushes at it but Dowrich couldn't latch on to"
"fuller and outside off, 132 kph, punches it towards extra covers"
"on the pads this time, tucked away behind square leg but only a single"
"pitched up outside off, Mominul comes forward and drives it towards mid-off"
"short of length outside off, punched off the back foot towards extra cover"
"length, outside off, Mominul for a change was stuck in the crease and pushes at it, and defends it away from the body"
"fuller outside off, comes on the front foot but mistimes the drive to mid-off"
"length ball, pitching around middle and leg, a little bit of turn, pushed down the wicket"
"fuller on the stumps this time, deafened back towards the bowler"
"pitched up once again, on the leg stump, tucked away towards square leg"
"short and wide and Mithun cuts it away, there is sweeper cover in place"
"short of length once again, punched off the back foot towards extra cover"
"length, just outside off, Mithun stays back and cuts it straight towards point"
"short and pulled away towards deep square leg, Mominul fully in control of the shot there"
"a bit of yes-no but safe in the end, Mithun was looking to steal a quick single but soon realises there isn't one and gets back in time, was a length ball which he dabbed towards point"
"a touch fuller on the pads this time, flicked away towards deep square leg"
"length outside off this time, Mominul comes forward before letting it go"
"short of length outside off, pushed towards point on the front foot"
"length ball, on the pads and tucked away in front of square, comes back for the second"
"length ball around 82 kph, just around off and middle, defended"
"tossed up this time, on middle and leg, defended inside out towards the bowler"
"looks to go big this time but mistimes it towards short midwicket, was given air once again, Mithun wasn't near the pitch and threw his hands at it, ends up dragging it on the leg side"
"slower again, on the stumps, Mominul is happy to defend it"
short of length and pulled away but there is protection on the deep
