"length on middle and leg, a hint of swing in to the batsman, flicked towards square leg"
"length but on the pads and tucked away towards the deep square leg boundary, off the mark with a boundary"
"fuller but once again on the pads, Babar says thank you very much and flicks it once again towards the deep square leg boundary"
"length around off, stays in the crease and defends"
"length ball on the pads, flicks it towards deep square leg, fielder is there now"
"length around off, plays it towards extra cover with the soft hands for a quick single"
"fuller on the toes, flicks it behind square leg for one"
"pitched up once again, on the leg stump, and Babar clips it between the keeper and the short fine leg"
"exquisite! Balance, poise and everything good. It was a length ball on the stumps and Babar just presented the straight bat to send it past the bowler for four more"
"length outside off, was looking to drive it through covers, the bat turns in his hand, the ball dribbles towards square leg"
"length outside off, waits for it before opening the face of the bat to run it down to third man"
"short of length on the stumps, pulled towards deep-backward square leg for one"
"down the track and looks to go over the bowler's head, gets a thick outside edge towards the left of third man, comes back for the second"
"length outside off, looked like it came slower off the pitch, Munro was caught in the awkward position, plays a half-pull and is caught at short midwicket"
"he is off the mark with a boundary. Fuller and down the leg side, Livingstone moves across and flicks it fine"
"length around off, stays in the crease and blocks"
"length around off, looks to hoick it on the leg side, mistimes it towards short midwicket"
"length outside off, driven on the up but straight towards cover-point"
"fuller around off, nudges it towards point and sets off for a quick single"
"length ball on the stumps, comes down the track and pushes it towards short midwicket for a single"
"length on the stumps once again, Livingstone skips down and looks to work on the leg side, gets a leading edge towards cover-point"
"down the track once again and launches this leg stump length ball over long-on for a six, first of the match"
"use of feet once again to take this on the full, caresses it wide of mid-on for four more"
"length ball on the pads, works it towards deep midwicket for one"
"length around off, clears his front leg and smashes it between the umpire and the non-striker for four"
"length again and Livingstone looks to repeat the shot, loses his shape and ends up mistiming it towards short midwicket"
"short ball on middle and leg, Livingstone has pulled this over deep square boundary for six more. He is on 27 off just 11"
"slower one on the stumps, pushes it towards midwicket for a quick single"
"length ball on the pads, tucked away towards deep midwicket for a couple"
"length on the stumps, pushes it towards short midwicket"
"length ball, pitching outside off and angling in, Livingstone goes for the pull and misses"
"length again, dances down the wicket and gets a single to deep midwicket via a mistimed pull"
"length around off, angling in towards the batsman, plays it towards short midwicket"
"length but angling on the pads this time, Babar uses his wrists to flick it just past the short fine leg fielder's right"
"back to back fours for Babar. And done cheekily too. Short of length outside off, Babar plays it late just dabbing it with soft hands to beat the third man fielder"
"make that three in a row! Short and wide and Babar cuts it past the point fielder, disdainful this time"
"starts with a quicker one around off, Livingstone goes for the cut but finds backward point"
worked towards midwicket for a single
"length on the stumps, punched off the back foot towards mid-on, Shadab himself chases it and keeps it to one"
"slower one the stumps, comes forward and nudges it towards cover"
"short of length around off, punched off the back foot towards sweeper cover"
"floated outside off, Livingstone comes down the track and takes it on the full but ends up hitting it towards extra cover"
"length on the stumps, pushed towards midwicket from the back foot"
"length on the pads, tucked away towards deep square leg"
"fuller on the stumps, was looking to work on the leg side, a leading edge towards covers"
"short of length on the stumps, goes back and pulls it towards deep midwicket"
"length ball on the leg stump, was looking to come down, ends up playing it back towards the bowler with a straight bat"
"fuller on the stumps, slogged over deep midwicket for a big six"
""
""
"short of length outside off, goes for the cut, the bottom hand comes off but manages to slice it over point"
"full toss around off, smashes it just over the bolwer's head for four more"
"down the track but it's short of length, ends up hitting it towards the bowler who goes low to his right but cannot latch on to the tough chance"
"short of length on the stumps, pulls it towards deep midwicket"
"slower one on the pads, flicked away towards fine leg"
"short of length outside off, stays back and tucks it towards deep-backward square leg"
