""
""
""
full and driven to cover.
"short of a length outside off, tried to chop this through cover, but instead a bottom edge dribbles into silly mid-off. Hughes takes off for a run but Philippe recognizes how ludicrous that is with Morris charging down the wicket in his follow-through. The big South African kicks the ball into the stumps from four yards with Hughes unable to get back in, a yard out."
"yorker on the stumps, defended back to Morris."
"how's that for a first ball! Pitched up very full on middle, Philippe goes well across his stumps to flick behind square and is late on the shot, struck dead in front and that's ripping out leg stump. Straightforward decision."
"fullish length swinging away well outside off, beaten but given wide, perhaps a bit harshly."
"<strong>gem!</strong> good length ball on fourth stump swings back in and beats Henriques between bat and pad, just barely clears off stump."
"short and wide, cracks a cut out to a sweeper."
"good length ball swings away from fifth stump, left alone."
full and swinging down leg.
"fullish length on fourth stump, tap and run into short cover."
"full and wider on fifth stump, beaten driving."
"good length ball on fourth stump, prods at this without any footwork and is beaten."
"fullish length ball on middle stump, flicked through midwicket."
"another early blow! In the channel on fourth stump on a good length, still not much footwork from Henriques prodding away from his body and quite a bit of extra bounce sees this climb off the shoulder of the bat through to the keeper Lenton diving to his right to take this low in front of slip. Would not have carried to slip."
"good length ball on off stump, defended to backward point."
"good length ball on fifth stump, left alone."
"good length ball on fourth stump, defended to point."
"fullish length on off stump, defended back to Sandhu."
"good length ball on fifth stump, defended to point."
"short on the legs, paddle pull behind square and deep backward square cuts it off before the rope."
"good length ball on off, defended."
"back of a length on off seams into the hips, Vince lets out a big sigh. Still plenty of movement. Playing shots not easy at all."
"short on middle, pulled along the ground to deep backward square."
"full and swinging into middle, Vince chips this in the air to mid-off, taken on the knees. Vince wasn't trying to flick this in the air. Wanted to whip it through midwicket but the ball looked like it held back a touch and sailed to the man on the ring."
"low full toss on leg stump at shin height, flicked behind square."
"full and swinging down leg, reaches around his pads to get just enough bat on this and it races past the keeper."
"good length ball on fifth stump, left alone."
"back of a length on fifth stump, goes back to punch through cover."
"fullish length ball on off stump, defended back to Doggett."
"short and some width on fifth stump, it was there to hit but just climbs a touch and his attempted picks out Khawaja at backward point. He wanted to go squarer but now Sixers are in deep trouble."
"good length angled across fourth stump, punched through cover."
"good length ball angled across fourth stump, left alone."
"short on fourth stump, pulled through to deep square leg."
"back of a length angled across fourth stump, punched to the sweeper."
"good length ball on middle and leg, flicked behind square."
"and it's for that reason! No slips in place with Sixers five down. Good length ball angled into off stump, flat foot prod, thick edge goes just wide of the keeper, would've been snapped up easily by a standard slip."
"good length ball on the stumps, defended to midwicket."
"back of a length on fifth stump, tip and run in front of point."
"back of a length angled in from fourth stump, beaten playing back in defense."
"good length ball on off stump, defended back to McAndrew."
"good length ball angled into the body, defended to midwicket."
fullish length ball on the stumps defended to mid-on.
"<b>dropped!</b> Short ball on off stump, tried to pull this wide of mid-on, fielder runs in from the ring and dives forward, Hales, but it bursts through his hands. 8/10 on difficulty based on the distance he had to cover but it floated very gently and really should have been caught, especially as he did get two hands underneath it. Looked like it actually clanged him in the forearm."
full and chipped through the leg side.
good length ball defended.
"this is going from bad to worse for the Sixers. Full and driven to McAndrew's right at midwicket, Avendano sets off and Curran wasn't interested after a spectacular diving stop. He gets up from his knees and calmly tosses to the keeper with both batsmen at the same end. Curran actually strayed out of the crease momentarily and Avendano passed him so he's the one who has to go."
good length ball defended.
"fullish length angled in from fifth stump, goes to drive and beaten."
"another good length ball seaming away from fourth stump, beaten on a back foot punch."
"good length ball jags back in from fifth stump, goes back to defend to Sams."
"fullish length into middle and leg, flicks through midwicket."
"fullish on fifth stump, enough room to late cut behind point."
"back of a length on off, punched through cover."
"fullish length ball in the slot on off, first shot played in anger heaved high and deep over long-on."
"full on leg stump, driven to midwicket along the ground."
"full on the stumps, defended to mid-on."
"fullish length on fourth stump, driven through the covers."
"fullish length angled across fourth stump, drives at it and is beaten."
"good length ball angled across off stump, pushes hard at this and a thick edge goes to deep third man."
"full on the stump, defended back to Morris."
"short ball on off stump, tries to cut, beaten by the extra bounce."
