"Fuller in length, just outside off and nips back a bit, drives it well but straight to cover fielder"
"good come back delivery, pitches on off stump and angling across the right hander, Chari tries to push at it and gets beaten"
"good length ball, on off stump, comes well forward and defends to cover"
"bit wider ouside off and moves away, easy leave for Chari"
"Shot! Slightly fuller just outside off, Chari leans well forward, drive and times it well in the gap between point and cover for four"
"full ball, just outside off and moves away, covers the line of the off stump and lets it go through to keeper"
"back of length, pitchse on off stump and moves away a bit, Chibhabha goes back and defends to off side"
"good length ball, just outside off, opens the face of the bat and runs it down to third man to gets off the mark"
"short and wide well outside off, left alone, Aleem Dar signals for a wide"
"full and bit wide outside outside off, moves further away, Charis goes for a big booming drive, gets beaten"
"back of length, on off stump, angles it down to third man for a single"
"That is a superb shot! Back of length, Chibhabha rises with the bounce and punches it away in front of point fielder for four"
"full ball, on middle and leg stump, gets right behind the line and pushes it to mid-on"
"good short ball, on leg stump, Charis ducks underneath it"
"again full ball, on off stump and swings back into the right hander, good stride forward and defends to cover"
"good leave by Chari, pitches on off stump and angling across, covers the line of the off stump and lets it go"
"again on same line and swings back into the right hander, gets well forward and defends to cover"
"full and just outside off, tries to drive, mistimes to mid-off"
"lovely delivery, pitches on middle stump and swings away with some extra bounce, Charis tries to defend, clips the pad on the way to keeper, shout for caught behind, turned down by umpire"
"on middle and leg stump, turned away to backward square leg for a single"
"short and wide outside off, lets it go and called a wide"
"full ball, on target, comes well forward and defends to mid-off"
"again good length ball, on middle stump, defends with the straight bat towards mid-off"
"full and bit wide outside off, tries to drive, thick outside edge, Imam dives and takes the pace off"
"good sharp bouncer, goes for the pull and gets beaten by pace"
"good length ball, on off stump, Chibhabha gets back and across and defends to off side"
"another good delivery, pitches on off stump and angling across, Chari tries to defend, misses the edge through to keeper"
"good bouncer, Chari ducks under it"
"good length ball, on target, gets right behind the line and defends to off side"
"fuller in length, just outside off and left alone"
"again full ball, just wide outside off, Chari drives away from the body, edges well wide of 2nd slip and no chance for the third man fielder to stop that one"
