Commentary,Runs,Wickets
"on the pads to start from Amir, no swing, worked down to fine leg to get off the mark.",1,0
"drifts down leg this time, no swing whatsoever. Warner misses his flick",0,0
"off the outside half and that races away. Better channel, outside off on a good length. Warner prods and gets it down to third man. Yasir can't cut it off from point",4,0
"leg side-ish again, 140 kph. Amir looking for swing but there is none there. Off the pad to fine leg",1,0
"much better. 139 kph, coming back in on off, pushed to mid-on",0,0
"138 kph, nice channel. Around off, full. Renshaw watches the ball onto his bat, dabbed towards point",0,0
"nicely bowled. Full around off at 130 kph, Warner blocks to mid-off",0,0
"short and wide, poor ball. Warner goes back and slaps the ball through cover for four. Easy as ... Not much swing, just timed",4,0
"superb batting. Good length outside off, sits up for Warner to stay back and punch through cover with just a short-arm jab. Signs of a good surface and a batsman in sublime touch",4,0
"no bother says Warner. Gets a good length delivery outside off, Warner square-punches through extra cover. Yasir Shah gets across and saves one",3,0
"nicely bowled. 132 kph, full and straight. Off the outside half to gully",0,0
"nice end, 132 kph outside off, no stroke offered",0,0
"beauty. Some swing at last. Goes wide of the crease, bowls it full just outside off. Warner is lulled into playing but the ball pitches and moves away to beat the bat. Superb",0,0
"141 kph, tight around off. Defended into the off side",0,0
"oh no. This has been an awful start from Pakistan. Full outside off from Amir, stay there. Warner drives straight to Misbah at mid-off. The ball goes through Misbah's legs and for four",4,0
"around off on a full length, defended to mid-on",0,0
more runs. On Warner's pads this time and Warner says thanks with a flick through midwicket. Not even three overs done and we can already see who is the alpha in this series,4,0
"tight around off at 143 kph, blocked",0,0
"angled away outside off, left alone",0,0
"pushed wider outside off, waaaaay too wide to draw a stroke, left alone",0,0
"136 kph, full outside off, driven to mid-off",0,0
"134 kph, yorker outside off, jammed out",0,0
"angled away again, left alone",0,0
"full and wide, another leave, Some control, a maiden",0,0
"140 kph, on the pads, worked to fine leg for a couple. Warner hurries back for two, makes it with time to spare",2,0
"excellent change-up. The most impressive factor was the direction, right at Warner's neck. He ducks out of the line, has a smile on his face after getting himself off the pitch",0,0
"like this length, short again at off. Warner sways out this time",0,0
"prodded into the off side, gets one towards cover",1,0
"139 kph, back of a length outside off. Renshaw bails his bat out. A good leave",0,0
"139 kph, good line around off, defended back",0,0
"lovely batting. Full and wide outside off, Warner reaches out for it and lifts the ball over extra cover. Cover is there? No problem. I'll go over the top. It's the first day of a Test match.",4,0
"good length on off, 137 kph, defended into the off side",0,0
"134 kph, short and wide. Quite a bad ball to Warner. He chops one back towards and over the stumps. All safe for Warner",0,0
"nicely bowled. No swing but at least the line is good. Full, straight, blocked",0,0
"finds the gap for four more. Warner is in some touch. Short ball on leg, Warner takes it on, gets on top of the bounce and plays the ball in the gap at backward square leg. Bisects the field.",4,0
"racing away. He's 38 now. Six overs bowled. Good length outside off, a chopped drive-punch through extra cover.",4,0
"full and straight, flicked through square leg for four more. Good from Renshaw, keeping his own amid some fantastic batting",4,0
"141 kph, excellent single. Full on off, dabbed towards extra cover for one. Warner will want the strike and Renshaw gives it",1,0
"143 kph, Amir goes wide of the crease, good length on off, pushed towards cover",0,0
"slower ball, 126 kph, Warner drives to wide mid-off. Amir looking to get Warner splicing a drive in the air and for that, the <b>length on that ball was fantastic</b>. Good thinking",1,0
"bouncer on off, Renshaw avoids with a duck",0,0
"140 kph, full outside off, played down towards gully",0,0
"137 kph, good length on off, no swing. Dead straight, defended",0,0
"134 kph, blocked to deep point for one",1,0
"back of a length on off, Renshaw gets on top of the bounce to defend",0,0
"good length outside off, left alone",0,0
pushed fuller and slightly closer to off. Sixth stump. Renshaw shoulders arms,0,0
another leave outside off,0,0
"four more. Back of a length on off, sits up for Warner to swat in front of square. There is a man deep there, he doesn't care. So much confidence.",4,0
"back of a length outside off, Warner lets that go with a sway. Whaaat?",0,0
"back of a length on off, dabbed towards gully, who has to dive to save some runs",0,0
"crashed behind point. Not wide enough to cut. Warner stays inside the line, opens the face and guides his cut for four. That's something Warner has developed, he can even cut straight balls, saw it first in the IPL this year",4,0
"full and wide this time. Warner's feet are not close to the ball, the ball flies past the edge. The first loose shot of the day",0,0
"brings this one back in on off, blocked to mid-off",0,0
"142 kph, Renshaw lets this one go",0,0
"141 kph, tight around off, defended into the off side",0,0
"full and wide outside off, no stroke offered",0,0
"good length, wide outside off. Left alone",0,0
another one that is left alone outside off,0,0
"left alone, a maiden",0,0
"flat on the pads, worked to midwicket",0,0
"86 kph, nice pace but a touch too straight, worked into the leg side",0,0
"flatter and quicker on off, worked to midwicket",0,0
nudged through square leg for a run,1,0
"flat on the pads, flicked away through midwicket for one",1,0
