Lemma,Frequency
length,222264
outside,187036
leg,173735
back,173131
ball,161339
stump,138231
short,122841
full,121974
cover,88204
away,85112
get,74242
middle,64373
midwicket,62443
good,62174
square,61614
wide,59670
deep,58941
point,58875
side,58074
towards,55061
foot,52960
go,48234
one,45043
pad,44092
edge,42769
drive,41944
bat,41526
defended,41098
forward,40125
line,37080
across,36528
front,36323
straight,34507
left,34290
man,29621
fine,29031
single,28591
around,28525
delivery,28470
cut,27677
time,27627
bowler,27439
run,27350
hit,27137
past,26992
kph,26624
fuller,26545
defends,26481
pull,26123
third,25662
right,25528
well,25423
driven,24487
inside,24011
come,23930
pushed,23644
slower,22900
turn,22012
longon,21985
pitch,21752
crease,21612
backward,21460
look,20888
take,20803
hand,20684
another,20303
midoff,19991
midon,19977
he,19918
shot,19851
alone,19799
tossed,19538
long,18854
boundary,18843
bounce,18636
behind,18490
wicket,17720
extra,17484
push,17297
ground,16864
flick,16717
play,16679
miss,16603
face,15933
angling,15827
fielder,14991
punched,14704
end,14590
way,14552
angled,14343
punch,14114
try,13756
batsman,13693
thats,13626
defend,13251
sweep,13233
keeper,13115
cant,12978
beat,12696
work,12473
make,12449
bit,12359
toss,12181
swing,12032
low,11928
onto,11898
room,11767
yorker,11514
sweeper,11487
longoff,11469
spin,11270
flicked,11218
touch,11186
keep,11158
enough,11137
worked,11113
top,11094
angle,11079
doesnt,10880
four,10812
block,10790
open,10765
slip,10558
air,10471
quick,10462
two,10454
big,10437
gap,10118
hard,10047
flat,9885
late,9840
much,9785
clipped,9738
bouncer,9734
close,9582
catch,9451
blocked,9308
shorter,8930
beaten,8841
let,8768
arm,8708
high,8686
first,8667
stay,8657
pace,8572
body,8487
pitched,8250
second,8048
head,7957
mid,7896
nicely,7861
step,7767
shortish,7699
thick,7684
stop,7674
track,7580
fullish,7580
little,7563
played,7463
got,7449
tucked,7297
find,7293
dive,7273
pick,7263
round,7175
move,7144
early,7063
tapped,7028
slightly,7026
flighted,6970
whip,6816
soft,6797
appeal,6779
going,6594
throw,6591
drop,6586
like,6506
roll,6448
toe,6421
half,6375
umpire,6374
pulled,6343
reach,6230
looking,6162
though,6062
firmly,5966
gully,5924
hip,5887
leaf,5884
coming,5876
clip,5875
there,5870
width,5721
stride,5687
couple,5669
strike,5540
press,5535
rope,5477
along,5426
googly,5403
kohli,5395
nice,5355
region,5246
quite,5233
duck,5213
shape,5159
clear,5157
flatter,5114
stand,5113
shoulder,5076
start,5064
timing,5022
nudged,4982
corridor,4886
shuffle,4850
de,4812
channel,4801
thigh,4799
quicker,4796
defence,4791
give,4767
didnt,4747
glove,4698
diving,4697
put,4668
slow,4630
lean,4615
stroke,4596
wider,4578
chase,4567
easy,4556
b,4555
wrist,4538
hold,4520
sliding,4514
root,4485
turned,4482
far,4481
movement,4472
fired,4460
running,4380
spinning,4360
land,4345
drift,4344
us,4334
slide,4331
bowled,4323
seam,4273
turning,4265
tap,4241
even,4228
fly,4209
lovely,4201
call,4201
tuck,4199
six,4191
stokes,4182
slog,4146
slap,4121
dab,4077
tight,4072
floated,4046
flight,4042
went,4031
still,4001
smith,3993
lbw,3992
bottom,3987
overpitched,3967
whipped,3936
steer,3912
wait,3895
dug,3888
walk,3850
chance,3834
manages,3827
almost,3806
bowling,3786
fourth,3753
mph,3751
knee,3750
want,3714
excellent,3709
really,3690
fence,3688
would,3671
rohit,3661
attempted,3658
looked,3653
think,3647
sharp,3631
swinging,3596
drag,3587
review,3578
leave,3563
getting,3556
pitching,3511
backfoot,3504
break,3442
rock,3428
quickly,3412
stretch,3406
nudge,3405
nearly,3404
gone,3388
given,3386
buttler,3356
warner,3309
trying,3282
straighter,3243
legside,3215
taken,3194
leading,3186
field,3178
reverse,3157
hang,3116
playing,3103
brings,3102
chop,3083
better,3082
mistimes,3080
nip,3073
hint,3070
three,3057
height,3032
struck,3030
done,2985
banged,2976
dhawan,2970
sends,2902
skid,2901
called,2900
slice,2892
drifting,2882
easily,2856
solidly,2851
jump,2818
chopped,2817
sharply,2807
tall,2804
see,2802
fifth,2801
hitting,2772
great,2757
isnt,2734
lot,2729
moving,2708
skip,2700
kock,2694
allows,2683
england,2674
connect,2668
jab,2663
carry,2658
caught,2657
show,2654
gently,2642
power,2631
picked,2627
fall,2625
rahane,2623
could,2622
inning,2613
taylor,2595
save,2583
race,2560
steered,2559
wrong,2552
last,2549
williamson,2538
corner,2529
mark,2527
say,2526
near,2521
slapped,2517
hope,2485
poke,2472
oh,2462
bairstow,2454
k,2449
amla,2445
missed,2442
dhoni,2439
pujara,2437
guide,2426
finch,2409
pant,2405
offcutter,2401
set,2400
jadeja,2385
legbreak,2377
force,2376
drilled,2368
dabbed,2367
wasnt,2357
drill,2354
hop,2348
contact,2342
need,2336
heave,2331
squeeze,2322
bowl,2322
rahul,2308
offer,2302
lefthander,2291
control,2283
solid,2277
slash,2276
swivel,2276
dropped,2272
coverpoint,2269
lunge,2263
attempt,2236
defending,2235
loft,2228
shaping,2225
tried,2222
offstump,2213
without,2211
swept,2210
lift,2207
superb,2202
looped,2190
meet,2184
halfvolley,2179
underneath,2168
poor,2161
squeezed,2145
made,2138
marsh,2136
might,2134
mphkph,2131
dig,2127
edgeb,2126
dip,2122
onside,2110
holder,2099
timed,2099
prod,2096
bunt,2086
safely,2079
collect,2077
comfortably,2071
watch,2060
rashid,2034
defensive,2032
straightens,2030
scamper,2021
moment,2019
babar,2017
bye,2015
eye,2014
place,2001
rise,1988
effort,1985
instead,1983
direct,1967
free,1952
fire,1943
frontfoot,1933
help,1926
hook,1924
maxwell,1920
swat,1917
glance,1915
dickwella,1907
dragged,1887
mathews,1884
fifty,1876
offside,1873
sure,1869
eased,1861
smother,1858
rising,1854
bail,1852
draw,1839
kept,1836
came,1833
sway,1825
clean,1824
seems,1824
cutter,1822
finish,1817
jabbed,1810
took,1796
elgar,1785
paddle,1779
finger,1778
deck,1764
ride,1764
position,1750
cummins,1742
jam,1727
new,1726
shakib,1726
test,1724
knock,1723
mistimed,1721
ashwin,1707
roy,1707
slanting,1707
wanted,1701
fulltoss,1699
paine,1696
able,1691
moeen,1689
taking,1685
follows,1683
kphmph,1683
nothing,1674
hammer,1673
closer,1671
pretty,1670
india,1668
mendis,1664
couldnt,1650
strong,1649
nonstrikers,1646
tamim,1639
chip,1637
infield,1637
stick,1637
slot,1637
fast,1635
circle,1633
check,1622
batting,1620
vacant,1616
lob,1606
may,1604
happy,1604
tickle,1594
extracover,1590
latham,1589
swipe,1580
broad,1580
faf,1580
fails,1575
bring,1574
morgan,1572
righthander,1572
burn,1557
brathwaite,1555
surface,1553
slider,1549
safe,1546
poked,1537
part,1528
sent,1521
uppishly,1517
sliced,1514
loop,1514
also,1513
squared,1505
decision,1495
perhaps,1493
charge,1489
forced,1489
azhar,1487
aim,1474
stabbed,1467
chest,1453
climb,1451
connection,1449
cramped,1449
replay,1448
change,1446
cramp,1443
cleanly,1437
smash,1432
day,1425
edged,1423
pollard,1417
zip,1417
curran,1408
cutting,1406
sits,1403
launch,1401
ring,1389
guided,1387
probably,1383
gather,1380
outswinger,1379
dipping,1379
stab,1379
sarfraz,1378
scoop,1378
straightening,1378
rabada,1374
mushfiqur,1371
wont,1365
eas,1357
completely,1357
fended,1355
bunted,1352
chandimal,1349
nail,1346
ooh,1344
maybe,1343
anderson,1335
swung,1332
wade,1329
fends,1329
stray,1328
dot,1328
khawaja,1326
float,1320
either,1314
lucky,1313
woakes,1313
gayle,1311
watson,1310
cordon,1309
nipping,1308
lofted,1305
