"strays on the pads first ball, and is tucked to square leg"
"gets it straighter, and Shadnam defends"
"he's off the mark in Test cricket with a sweetly timed boundary to long-off. Full ball on off, driven past the bowler. Didn't try to hit it too hard, but got the timing spot on"
"length ball outside off, defended off the front foot"
"length ball outside off, he shoulders arms"
"back of a length, getting some movement into the left-hander, but he's equal to it, getting behind the ball and defending"
"starts with a very full ball, slight movement into the left-hander in the air, and he gets a thick inside edge that goes to deep square leg"
"strays down leg, and Shadman can't get bat on it. Well outside leg stump, a limited-overs wide"
"<b>that's not bounced</b> back of a length and that has gone at knee roll height through to the keeper, outside off"
"gets this one to rise up to chest high, but comfortably defended off the back foot, dropping the ball down close to him"
"full ball, comes forward to drive it firmly, but straight to extra cover"
"length ball nipping back in, tucked towards short square leg"
<b>past the outside edge</b> back of a length outside off and coming in with the angle from around the stumps. Soumya stays inside the line and the ball whistles past the outside edge
"<b>beaten again</b> He's challenging him in that corridor, but staying inside the line, though the bat is going a mite further away from body than he'd like"
"fuller that time, and he pushes it to point's left for a single"
"back of a length, punched to point"
"length ball angling into the batsman, rolls off the inside edge towards the bowler"
"length ball outside off, he moves across and defends it solidly"
"flighted, on the the stumps, patted down"
"flighted on off, comes forward to defend, it takes the inside edge and rolls past forward short leg"
"good length, pitching on leg and spinning a touch across the batsman, defended into the leg side"
"tossed up, and he comes forward to defend with a big stride"
"good length and flight again, drawing the batsman on to the front foot to defend"
he's found his length and he's plugging at that. Another forward defensive
"length ball on the stumps, defended from the crease into the off side"
"dragged down too short, and it doesn't rise, pulled away with some authority to deep midwicket, but there is a fielder there to clean up"
"length ball, defended with an angled bat off the front foot. The ball travels to point"
"short ball, but that one rose higher. Already some signs of uneven bounce on this pitch? A few balls have kept low, this one rose till the shoulders. Negotiated well in the end, pulled it keeping the ball down"
"length ball outside off, he shoulders arms"
"length ball on the stumps, that one didn't bounce a lot again. Defended from the crease"
comes forward to push this into a gap in the covers
"<b>turn already</b> tossed up, landing on the length where he can't quite meet it with a big stride, it grips and turns away from the bat"
""
"tossed up, too full, and driven comfortably to long-off"
"a bit flatter and quicker, he comes forward to defend"
"<b>beaten</b> nice loop to the ball, drawing him forward and dipping to beat his intended push. Spun between bat and pad"
"back of a length on the stumps, not rising above the pads again, defended"
"a bit fuller on off, clipped to mid-on"
"too full on the pads, and whipped away to deep square leg"
"airy waft, and beaten. Roach kept it slightly wide of the fourth stump line, and the batsman went for the drive, away from the body. Connects with air"
""
"fuller ball on the stumps, driven back to the bowler"
"given room outside off, he goes down on one knee to square drive it through the in-field"
"better line, on the stumps and on a length, defended off the front foot"
"tossed up on the stumps, defended to point with an angled bat"
"quicker one on the stumps, defended back to the bowler"
"on a length outside off, comes forward to defend"
lets it go through outside off
"on a length outside off, defended into the off side"
"<b>bounces off a length</b> surprised the batsman a bit, rising up above the waist from a good length, but he brought his bat down in defence quickly"
""
"<b>nice shot</b> given room outside off and Lewis went too full. It was in the slot and he leaned into the drive. Didn't try to hit it too hard, so the ball was pulled back inside the cover fence"
""
"dug in a short one, but the batsman transferred weight back seamlessly and pulled it to deep square leg with good timing"
"tossed up outside off, draws the forward defense"
"goes straighter with his line, and the batsman doesn't adjust perfectly to the line but gets an inside edge that rolls away to square leg"
turn and bounce again. Forces him to defend off the back foot
"tossed up on the stumps, and defended off the front foot that time"
"touch fuller, allowing the drive, but it goes straight to cover"
"<b>oooh, turn again and beaten</b> perfect length, pitches and beats the forward defensive to spin past the bat"
"length ball outside off, shoulders arms to let it through"
"dug in short outside off, but it's not quick enough though it rises to shoulder height. Allows him to pull it, keeping the ball down, to square leg"
"pulled with authority, but the fielder at deep midwicket is there. Another short ball outside off, he was on to that one quickly and didn't keep it down. Didn't hit it high enough though, so it goes on the bounce to the man on the boundary"
""
""
"back of a length on the stumps, gets nicely behind the line and defends"
stays back to cut this from the stumps past point
"strays on the pads, perhaps forced by the shot the previous ball, tucked to square leg"
"tossed up but too full, driven between point and cover"
"flatter, back of a length, spinning away from the batsman. Wasn't full enough to come forward to defend"
"length ball, spinning away, he goes inside his crease and guides it to point"
