"length ball, not much of movement, as Imam lets it go"
"length ball, a hint of away swing, and Imam comes forward and defends"
"drifts down the leg side, and allows him to glance down to fine leg"
"drifts down the leg side to Hafeez this time, who tucks him away on the onside comfortably"
"length ball and Imam comes forward and drives it with conviction. There isn't much movement on offer, and the spinners might be summoned quicker than normal today"
"outside off, and offering some width, and Imam lays into it. Drives forcefully and in the gap between cover and point. Fine shot!"
"length ball, that comes back in and they have <strong>appealed</strong>. Turned down. They have gone for a review though, possibly for a caught behind. It passes close to the bat, but doesn't seem to have taken either bat or glove. Hafeez was pressing forward and looking to defend, the ball cut back in sharply to beat the inside edge. <strong>The umpire might have a look at the LBW shot, but it bounces above</strong>."
"length ball, and he again presses forward and defends. Needs to be wary of playing across the line, especially with the bowler essentially bowling cutters"
"comes forward to another length ball, and this time is able to nudge it away with soft hands to the onside"
"length ball, that angles across him. He plays it down defensively from the crease after standing up on his toes"
"angles across him, and he watches it through with his bat raised. The line was far too outside off-stump for him to be tempted"
"angles across him again, and he comes forward and defends. Gets a little inside edge of the bat, and also plays a little off balance"
"angles across him, and he shoulders arms to it"
"angles across, and Hafeez looks to leave it, but the ball takes his bat as he was about to take it out of the way. Thankfully, crept along the floor to the gully region"
"pitched outside off and looking to tempt him into the drive, but Hafeez lets this pass"
"angles across him again, and he shoulders arms to this one"
"angles across Hafeez, who lets this pass through to the keeper"
"a straighter ball, but Hafeez has no problems in coming forward and defending"
"angles outside off, and he lets this pass"
"angles across Imam, and then straightens a touch off the seam. Good carry through to the keeper, as the batsman shoulders arms to it"
"<strong>beautifully struck drive!</strong> Pitched up again by de Grandhomme, and he comes forward and gets right over the ball as he eases it through covers"
"<strong>terrific response from the bowler!</strong> A bit more pace in this as he gets it to slant across Imam, and beats his outside edge as the batsman presses forward"
"shorter in length, and straighter. He hangs back and defends"
"<strong>DROPPED!</strong> It's angled across Imam, and he goes for the drive again. This time, his feet didn't move as much, and that led to him getting the outside edge. It was travelling quickly to Latham at second slip, who failed to latch on"
"angles across Hafeez, who is only too happy not to need to play the new ball at this stage"
"length ball, straightens a bit into the right-hander, who plays it defensively off the crease"
"short and wide outside off. Hafeez was looking to play the upper cut to it, but missed it by a fair margin"
"length ball, and a bit of movement back in. Hafeez lets this go, and it passes over off-stump. Some good bounce on offer this time for Boult!"
"straighter ball, but just drifts into the pads. Hafeez flicks it away to square leg"
"angles across Hafeez, and from a good length. He is opened up a bit, but does well to play it with soft hands to the offside"
"angles across Imam and beats his outside edge. Great ball, especially as it reared off a length, and went away with the seam. Too good for the left-handed opener"
"pitched up a bit more, and this time Imam can press forward and cover the seam movement and defend"
"angles across him, and from a good length, but he lets this pass without getting tempted into a drive"
"pitched up, angled across, and he comes forward and plays a defensive drive straight down to mid-off"
"angled across, and he lets it pass"
"a little shorter in length, but the line is similar, as it slants across Imam. The batsman goes back and defends it with soft hands to the offside"
"straighter ball, and Hafeez goes back and defends this"
"tries to bowl this straighter, but drifts down the leg side, and Hafeez glances it fine, and the outfield does the rest"
"length ball, and a good leave from Hafeez. The ball cuts back, but the bounce is true, and it passes well over the off stump"
"another terrific ball! Bowled at 136.4kph, and cuts back in sharply after pitching. Hafeez lets it go again, and it bounces over the top of middle this time"
"angles across, and is bowled at nearly 136kph this time. Hafeez lets it pass. Good contest brewing between the two experienced men..."
"pitched up, as he looks for swing, but again drifts into Hafeez's pads. He goes back and flicks it down to the long-leg region"
"outside off stump, and dying on the batsman. He shoulders arms and lets it through"
"<strong>first blood for New Zealand!</strong> This was again outside the off stump, and Hafeez for once got tempted into letting his bat hang out, and just took the outside edge. The ball was dying on its way to Tom Latham, but he was positioned low enough to scoop it up with ease. Makes up for the previous lapse from him, but a vital breakthrough inside the first hour"
"outside off, and moving away off the seam. Azhar watches it through without nibbling at it"
"<strong>CHANCE!</strong> A fuller ball, and Azhar gets tempted into going for the drive. It takes the outside edge, and somehow contrives to go perfectly between Watling and Taylor at first slip!"
"outside off, and this time it cuts back in after pitching. Azhar judges this one better, as he shoulders arms"
outside off and moving further away. He lets it pass through
"pitched up, and a hint of swing away from Imam, who comes forward and plays a loud, resounding forward defensive stroke to it!"
"a little shorter, and Imam goes back to this ball pitched on off stump and defends it to the offside"
outside off and moving further away. He lets it pass without fiddling at it
"length ball, that jags back in. Imam caught in the crease, and gets hit in front of the stumps. The bounce would probably have taken it over the stumps, though"
"fuller ball, and a hint of movement away, as Imam comes forward to defend. This is another good spell of pressure coming from Boult. Excellent new-ball bowling, especially for the conditions..."
"shorter in length, outside off, and Imam lets it pass"
"outside off, and on a length as it swings away. Azhar comes forward but refuses to be drawn into a shot"
"a little fuller, and again on off stump. The ball keeps a bit low, as Azhar shoulders arms."
"fuller, and he comes to the length of it and eases it through covers. A much better shot, with the right footwork to match"
"<strong>GONE!</strong> Air of inevitability about this, as de Grandhomme has been homing in on that line outside off stump. Another cutter that goes across him, and Imam goes forward looking to defend it, but gets the outside edge of the bat. Carries nicely to Latham, who makes no mistake this time. What a start this has been for New Zealand!"
"outside off stump again, and he gets tempted into going for a drive. Not far from the outside edge..."
"outside off stump, angles across Sohail, who shoulders arms"
"length ball, angles across Azhar, who lets it pass"
"length ball, that straightens after pitching. Azhar lets it pass, and it goes quite close to the off-stump..."
"outside off and angling away again, and Azhar lets this pass"
"straighter, but down to the pads, and he lofts it over the man at square leg"
