"length ball and some shape away from off stump, blocked on the front foot"
"short of a length just outside off, defended into the off side"
"length shaping away outside off, left alone"
"short of a length on middle stump, tapped to midwicket's left off the back foot"
"short of a length just outside off, defended into the off side"
"full on middle stump, defended towards mid-on"
"length on off stump, blocked on the front foot"
"length outside off, gets on the front foot and chips this over extra cover. Stirling gives chase but it seems to have touched the rope as he tumbles and pulls this back"
"full on leg stump, flicked to short fine's right"
"length outside off, blocked on the front foot"
"length just outside off, shuffles and taps into the leg side off the back foot"
"length outside off, bat-pad into the leg side on the front foot"
<b>inswinging yorker</b> at leg stump. Gets the front leg out of the way and natmegs this to short fine's right
"full on middle and leg stump, walks at it and punches to mid-on's left"
"lovely shot. Length ball shaping away outside off, somehow goes on the back foot and whips across the line to get his past midwicket and beat him to the line"
length and swinging away outside off. Looks to drive and gets a thick outside edge to point
"overpitched on leg stump, flicks uppishly to deep square's right. He stops with a one-handed tumble to his right"
"slower ball, short of a length outside off. Swatted to deep square"
"short of a length just outside off, backs away and mistimes a punch to mid-off"
"length and skidding into off stump, punched on the up to mid-off"
full and coming in at leg stump. Nudged to midwicket off the inside half of the bat
"full on middle stump, defended on the front foot"
"length outside off, pushes with hard hands on the front foot, gets it to extra cover aerially"
"length on off stump, solidly blocked on the front foot"
"full and in at middle stump, defended on the front foot"
"<b>that's plumb!</b> And given. Length ball skidding on at knee height as Shahzad gets on the back foot to try and whip this through the leg side. Misses and is rapped in front of middle stump, deep in the crease. He's not a very tall man, so the umpire thinks about it for height and decides there's enough going in Murtagh's favour to raise the finger"
length and slanted in at leg stump. Gets the front leg across and flicks to silly mid-on
"length on off stump, defended on the front foot"
"short of a length at off stump, defended on the back foot"
"short of a length at off stump, solidly defended on the back foot"
"length just outside off, stabs into the off side on the front foot"
"length, pushed through and staying low as he defends late with a half stride"
<b>thick outside edge</b> again but another four. He did this a couple of times against McBrine in the last game as well and got away. Full ball outside off and he swishes at it. Clears extra cover and runs away
"length and in at off stump, flicked with the angle to midwicket"
<b>beaten on the edge.</b> Grips and turns from a good length and he follows with his hands outside off
"length on leg stump, flicked to backward square leg"
"overpitched just outside off, driven off the outside half to extra cover"
"length on off stump, defended on the front foot"
"length and slanted in at middle stump, defended down the pitch"
"length outside off, defended to point on the front foot"
"neatly tucked into the leg side, but Porterfield dives to his right at mid-on and stops this. Length ball was clipped with the angle past silly mid-on"
"<b>lifts it over the backward square leg boundary.</b> A poor length from Murtagh. Too short and just outside off. It's an offcutter too, so there's time for Zazai to get back and drag this into the leg side"
<b>big turn into him</b> and Rahmat has been given out leg before here. Was it going down? At best that is a marginal call. He's on the back foot as this rips in a long way and beats him on the back foot flick. Strikes him at a leg stump line. Umpire thinks that's hitting leg. It just turned so much. Perhaps his decision to be on the back foot has cost him
"length outside off, blocked on the front foot"
<B>inside edge</b> onto bat as he steps out hurriedly and looks to drive outside off
"full outside off, driven to mid-off"
"full outside off, flicked to deep midwicket's right"
"short of a length just outside off, left alone"
"full on leg stump, tapped into the leg side off the inside half"
"length on middle stump, defended to midwicket off the inside half"
"short of a length into the body, steps out and cops it on the body as he looks to flick"
"short of a length outside off, pulled to deep square"
"overpitched outside off, keeps the front foot out of the way and drills this past extra cover"
"full outside off, dragged to mid-on's left off the inside of the bat"
"length outside off, blocked on the front foot"
"length and in at off stump, plants the front leg across and defends into the leg side"
"length outside off, driven to mid-off on the rise"
"full outside off, closes the face on the forward defence and gets a thick edge to point"
"length on middle stump, steps out, doesn't get to the pitch and swings at this with little control. Thick inside edge to short fine's right"
short of a length and turning into the thigh guard as he looks to flick this
"length ball on the stumps, Zazai looks to go big on the leg side, doesn't middle and ends up dragging it towards deep square leg"
"fuller around off, comes forward and defends it towards extra cover"
"length around off, comes forward and defends it towards covers"
"length around off, Asghar was half forward, defends it with a straight bat"
"short of length but way down the leg side, Asghar looks to pull but cannot reach there"
"length around off, stays back this time and dabs it towards short midwicket"
"length around off, comes forward and looks the defend, the ball hits the inner half and rolls towards the right of short midwicket. A quick single"
"length on the stumps, Asghar gets across and glances it towards short fine leg for one"
"length around off, comes forward and blocks"
"length on the stumps, pushed towards short midwicket"
"length, angled in at the stumps, defended from the front foot"
"fuller around off, punches it towards wide long-off for one"
"short of length on the pads, goes back and flicks it towards square leg"
"length ball on the stumps, a bit of turn, works it towards short fine leg"
"length around off and middle, defends it on the leg side"
"a touch fuller on the stumps, goes down and smokes it over deep midwicket, into the empty stands"
"flatter around off, Zazai stays in the crease and pushes it back"
"short of length around off, goes back to cut but mistimes it past the bowler"
"length around off, a leading edge towards covers this time. Zazai was looking to work it on the leg side"
"length around off, goes back and punches it towards long-off"
"length ball on the stumps, stays back and works it towards square leg"
"length again, uses his feet and pushes it in front of square once more"
"length around off, Asghar is unsure whether to go forward or back, pushed on the leg side once again"
"skips down this time, commits himself, reaches to the pitch of the ball and launches it over long-on to break the shackles"
"flatter around off from Simi this time, smothered on the front foot"
"fuller around off, pushed towards long-off for an easy single"
"a direct-hit at the bowler's end and Ireland are celebrating. Length ball on the pads, comes forward and pushes it towards short fine leg, looks to sneak in a single but decides against it after realising Murtagh was quick to the ball. Zazai fails to retrace his steps in time"
"length around off, comes forward and pushes it towards long-on"
"length around off, comes forward and defends"
"a touch fuller outside off, defended right under his eyes"
"fuller around off, comes forward and drives it towards mid-off"
"ends up bowling it full and down the leg side, Asghar goes for the sweep, gets a top edge that clears short fine leg easily"
"length around off, punched towards the bowler off the back foot"
"fuller on the pads, Asghar was looking to turn it on the leg side but the ball comes slower off the wicket and he almost ends up lobbing it to square leg"
pushed towards covers for another dot
"fuller around off, comes forward drives it towards covers"
"length on middle and leg, comes forward and defends"
