"fuller length, bunts to cover"
"touch wide on off, hangs back and cracks through point for a boundary"
"nips back in, pushes to mid-on and scamper through for a swift single"
"keeps it full on off, punched to mid-off"
"back of a length, zips through to the keeper. Zeeshan lazily pokes at this one but misses by a mile"
"down the leg, struck on his pad as he looked to hoick this one away"
"too much width offered, Rohail plants his front foot across and looks to smack this away, gets beaten"
pushed to mid-off for a quick run
"tighter line, fends back to the bowler"
"gets some connection, length on off, gets underneath the ball and goes airborne over mid-off for a boundary"
"drags his length back a bit, looks to pull, gets a thick inside edge towards short fine"
"jagged back in from middle and leg, thuds on his pad, ambitious cry for leg-before and rightly turned down"
"swings back in from middle and off, tucks to mid-wicket for a single"
"lovely line, no room whatsoever, played back to the bowler"
"back of a length again, was undone for the pace. Zeeshan looks to take it on but was no where near the middle of the willow, the ball lobs up and lands short of mid-wicket fielder. Amin out there cracks at the non-strikers end but the batsman was well in"
"picks up the slower ball, bit of width served up too and Zeeshan smashes it through cover for a boundary"
rolls his fingers across and beast the edge
punched to mid-on and off for a quick single
throws it wide outside and called wide
"back of a length on off, stood tall and cuts hard. Imam at point dives across and saves two."
"nipped back in, tucked away off his pads for a brace"
"back of a length on off stump, play and miss"
"takes on back of a length ball again, mistimes to wide mid-on and tried to pinch a quick run. Fielder out there cracks at the stumps, Zeeshan plonks his bat on the crease.. Ahsan Raza signals not-out"
flicked off his pads for a quick single
"tucked off his pads towards short fine, Rahat does well"
"welcome to the crease skip! Short and wide outside off, slapped over cover-point for a boundary"
"saunters down, pushes to mid-off and scampers through for a single"
"jags back in, fends down with soft hands and sets off for a single"
"dug in short, play and miss"
"back of a length on off, mistimes the pull to on side"
another mistimed pull eludes diving mid-wicket fielder
down the track for a huge hoick but only manages to nick one back to the keeper. Not an ideal start for the Sultans
punched to mid-on and sets off for a quick run
"slower length ball on off, dabs down to third man"
"back of a length delivery, stabs to point"
"angled in from middle, flicked to square leg"
"too full and too wide, Zeeshan pounces on it and carves over cover for a boundary"
"tossed up, nudged behind square for a single"
"waltz down, gets to the pitch of the ball and slogs it over deep mid-wicket fence"
"drifts down the leg, gets low and sweeps behind square leg for a boundary"
"saw him coming and drops his length back a bit, tucks to on side"
punched down the ground
"tad wide on off, cuts and Imam again does well"
strays down the leg and flicks stylishly through backward square leg
"back of a length on off, pulled to long-on and they pinch an extra run courtesy of an over-throw"
"poor line again, on the pads and easily flicked past short fine"
pushed through cover for a single
"back of a length, pushed to cover"
"too much width, edges past diving Kamran for four more"
wide down the leg
"tossed up, pushed down the ground for a single"
"length on off, quicker too, play and a miss"
played back to the bowler
"length on off, cuts to point, Imam dives across and rockets it back to the keeper"
fires down the leg and neatly glanced away fast short fine
"slower through the air, defended"
erred down the leg and called wide
tucked off his pads for a run
"back of a length on middle and leg, nudged away"
pushed to on side for a single
"back of a length, tries to leave that alone and a huge appeal for caught behind. Rashid Riaz says no and they have reviewed. Reply shows there's nearly 4-inch gap between bat and ball. Zalmi lose their review"
nudged to on side for a single
"length on off, play and miss"
down the track and slapped to long-on
"back of a length, makes room and edges to third man, Amir out there dives but can't stop the ball"
skips out and cracks a length ball towards backward point
cuts to point and finds Imam.. already saved nearly 10 runs
walks across and ramps over short fine for a boundary
"back of a length, swiveled and pulled to on side"
"full, makes room and mistimes to long-on"
"dug in short, looks to pull but gets a tiny top edge to the keeper"
pushed to mid-off
"back of a length on off, looks to pull but only manages to drag it on to the stumps"
"tad full, fends to mid-on"
"down the track, cracks to deep cover"
played back to the bowler
"full on off, played back to the bowler"
throws it outside off and called wide
drives through the cover region for a couple
milks a run down the ground
"arm ball, cuts to cover for a single"
"full on off, mistimes the drives to mid-off"
punched down the ground for a single
"full on off, pushes to cover"
"tad fuller in length on off, punched to cover"
punched to cover and sets off for  a quick single
"fuller outside off, gets low and nonchalantly craves to cover and finds Hammad"
"length on off, punched to cover and set off for a single"
"full on off, pushed to mid-off"
punched through vacant cover for a single
"full on leg stump, gets a leading edge towards cover"
drives down the ground for a single
"length on off, gets an inside edge to fine leg"
"full on middle and leg, flicked away to fine leg"
flicked off his toes for a single
"full on middle and off, flicked nicely over long-on for a six"
"length on off, dabs to point"
"length delivery, pushed through cover"
"slower ball on off, play and a miss"
