"Lovely inswinger, pitches on middle stump and swings back into the right hander, Charis tries to defend, inside edge on to pad, shout for lbw, turned down by umpire"
"again on same line and length, swings in, goes for the drive, gest the thick inside edge and goes to square leg"
"this time pitched on leg stump, hit the pad and going further down"
"fuller in length, on off stump, comes well forward and defended to cover"
"again on middle and leg stump, tries to work it away on the leg side, another inside edge onto pad"
"full ball, on off stump, comes well forward and defends to mid-off"
"short in length just outside off and moves away, goes for the cut and misses it"
"again good length ball, wide outside off and left alone"
"Gone! Back of length, just outside off and moves away, Chibhabha opens the face of the bat and steers it sraight in the hands of Iftikhar at 2nd slip for a catching practice and he takes it with ease"
"good length ball, on off stump, defends to cover"
"on leg stump, clips the pad and goes to fine leg for a legbye"
"short in length, just outsie off, goes for the cut and beaten by pace"
"lovely delivery, pitches on off stump and moves away, just misses the outside edge and off stump on the way through to keeper"
"again full ball, bit wide of the crease, pitches just outide off and moves away, goes for the drive and beaten again"
"full ball, yorker length, just outide off, angles it down to third man for a single"
"full ball, on off stump, pushes to mid-off"
"again full ball, on middle stump, Charis strides forward and defends to off side"
"full ball, on middle and leg stump, comes forward and tries to defend, ball hits the inner part of the bat and goes wide of mid-on fielder for couple of runs"
"full ball, on off stump, gets right behind it and defends to gully"
"short in length, on leg stump, tries to work it away, off the pad to square leg"
"lovely delivery, pitches on middle stump and moves away with some extra bounce and pace, misses the edge through to keeper"
"Hasnain strikes again! Back of length, on leg stump, Eriven tries to flick it away, gets the inner edge and Rizwan takes a good catch down the leg side"
"good length ball, just outside off and left alone"
"full ball, just outside off and moves away, well left by Taylor, covers the line of the off stump"
"on middle and leg stump, turned to wide of mid-on for a quick single"
"lovely delivery, pitches on middle stump and swings back into the right hander, faint inner edge onto pad, loud shout for lbw, turned down by umpire, replay showed that their was an edge"
"full ball, on off stump, defends it back to bowler"
"again full ball, outside off, pushed to cover"
"short in length, angling down the leg side through to keeper for a wide"
"full ball, on off stump, gets right behind the line and defends to mid-off"
"Full on leg stump, Taylor flicks it away off his pads and it goes over square leg fielder for four"
"full ball, just outside off and moves away, tries to drive and beaten"
"good length ball, outside off, angles it to third man"
"good length ball, just outside off and moves away, edges it down to third man and misfields cost four runs"
"full ball, on off stump, goes forward and defends to off side"
"short ball, Taylor tries to play a lap shot over keeper and misses it"
"full ball, on target, defended to cover"
"Shot! Full ball, on off stump, leans well forward and drives with open face of the bat, finds the gap at point for four"
"short ball, ducks underneath it"
"good length ball, just outside off and angling away, left alone"
"full ball, on off stump, pushes to wide of mid-off for a single"
"good length ball, on middle and leg stump, turned to square leg"
"full ball, just a solid push down the ground and runs a quick single"
"full ball, on middle and leg stump, pushes to wide of mid-on for a single"
"Gone! Superb yorker by Hasnain, it was full with some pace and it went under the bat of Chari and disturbed the stumps"
"good length ball, pitches on leg stump and hits the pad, going down the leg side, shout for lbw, truned down"
"full ball, just outside off and moves away, lets it go"
"good short ball, Williams ducks underneath it"
"full ball, on off stump, gets right behind the line and defends to mid-off"
"good length ball, on off stump, pushes to cover"
"short in length, on leg stump, turned away down to fine leg for a single"
"back of length, just outside off, punches to point"
"good length ball, on off stump, punches to cover"
"full ball, on off stump, comes well forward and defends to cover"
"good length ball, on leg stump, turned to midwicket"
"full ball, just outside off and moves away, lets it go"
"good length ball, on off stump, pushes to off side"
"short in length, on leg stump, went back and defended to leg side"
"short ball, stands tall and punches to off side"
"short in length, on off stump, goes back and pushes to off side"
"again full ball, on off stump, defended with the straight bat back to bowler"
"good length ball, on off stump, goes back and defends to cover"
"full on target, drive back to bowler and good stop by Musa in his follow through"
"Back of length, on off stump, goes back and pushes to cover"
"short ball, goes for the pull shot, top edge and it went all the way and hits the rope at fine leg"
"full ball, on off stump, angles it to gully for a single"
"good length, just outside off, punches to wide of mid-off and Wahab makes a sliding save"
"short in length, on leg stump, worked away to backward squaer leg for a single"
"full ball, on trget, gets right behind it and defends to mid-off"
"back of length, just ouside off, angles it down to third man for a single"
"good length ball, on target, punches to point"
"fuller in length, gets right behind the line of the ball and defends it to mid-on"
"short in length, whipped away to short midwicket for a single"
"Short in length, stands tall and punche it away to deep point fence for four"
"good length ball, on leg stump, tries to work it away, takes it on the pad but missing leg"
"again full ball, on target, defended to off side"
"short in length, outside off, punches to deep cover"
"full ball, on off stump, leans well forward and pushes in the gap between cover and extra cover for couple of runs"
"short ball, goes well over batsman head and called a wide"
"full on middle stump, Williams tries to play on the leg side, leading edge down to third man for a single"
"short ball, stands tall and runs it down to third man with open face of the bat"
"full ball, on off stump, drives to deep point for couple of runs"
